id,imageCount
MS-00479-1988,1
MS-00480-1988,1
MS-00481-1988,1
MS-00482-1988,1
MS-00483-1988,1
MS-00484-1988,1
MS-00485-1988,1
MS-00486-1988,1
MS-00487-1988,1
MS-00488-1988,1
MS-00489-1988,1
MS-00490-1988,2
MS-00491-1988,1
MS-00492-1988,1
MS-00493-1988,1
MS-00494-1988,1
MS-00495-1988,1
MS-00496-1988,1
MS-00497-1988,1
MS-00498-1988,1
MS-00499-1988,1
MS-00500-1988,1
MS-00501-1988,1
MS-00502-1988,1
MS-00503-1988,1
MS-00504-1988,1
MS-00505-1988,3
MS-00506-1988,3
MS-00507-1988,1
MS-00508-1988,1
MS-00509-1988,1
MS-00510-1988,1
MS-00511-1988,1
MS-00512-1988,1
MS-00513-1988,1
MS-00514-1988,1
MS-00515-1988,1
MS-00516-1988,1
MS-00517-1988,1
MS-00518-1988,1
MS-00519-1988,1
MS-00520-1988,1
MS-00521-1988,1
MS-00522-1988,1
MS-00523-1988,1
MS-00525-1988,1
MS-00526-1988,1
MS-00527-1988,1
MS-00529-1988,1
MS-00532-1988,1
MS-00533-1988,1
MS-00534-1988,1
MS-00535-1988,1
MS-00536-1988,1
MS-00537-1988,1
MS-00538-1988,1
MS-00539-1988,4
MS-00540-1988,1
MS-00541-1988,1
MS-00542-1988,1
MS-00543-1988,1
MS-00544-1988,1
MS-00545-1988,1
MS-00546-1988,1
MS-00547-1988,1
MS-00548-1988,1
MS-00549-1988,1
MS-00550-1988,1
MS-00551-1988,1
MS-00552-1988,2
MS-00553-1988,1
MS-00554-1988,1
MS-00555-1988,1
MS-00556-1988,1
MS-00557-1988,1
MS-00558-1988,1
MS-00559-1988,1
MS-00560-1988,1
MS-00561-1988,1
MS-00563-1988,1
MS-00564-1988,1
MS-00565-1988,1
MS-00566-1988,1
MS-00567-1988,1
MS-00568-1988,3
MS-00569-1988,1
MS-00570-1988,1
MS-00571-1988,1
MS-00572-1988,1
MS-00573-1988,1
MS-00574-1988,1
MS-00575-1988,1
MS-00576-1988,1
MS-00577-1988,1
MS-00578-1988,1
MS-00579-1988,1
MS-00580-1988,1
MS-00581-1988,1
MS-00582-1988,1
MS-00583-1988,1
MS-00584-1988,1
MS-00585-1988,1
MS-00586-1988,1
MS-00587-1988,1
MS-00588-1988,1
MS-00589-1988,1
MS-00590-1988,1
MS-00591-1988,1
MS-00592-1988,1
MS-00593-1988,1
MS-00594-1988,0
MS-00595-1988,1
MS-00596-1988,0
MS-00597-1988,1
MS-00598-1988,1
MS-00599-1988,1
MS-00600-1988,1
MS-00600-1988VERSO,0
MS-00601-1988,1
MS-00602-1988,1
MS-00603-1988,1
MS-00604-1988,1
MS-00605-1988,1
MS-00606-1988,1
MS-00607-1988,1
MS-00608-1988,1
MS-00609-1988,0
MS-00610-1988,2
MS-00611-1988,2
MS-00612-1988,1
MS-00613-1988,1
MS-00614-1988,1
MS-00615-1988,1
MS-00616-1988,1
MS-00617-1988,1
MS-00618-1988,1
MS-00619-1988,1
MS-00620-1988,1
MS-00621-1988,1
MS-00622-1988,1
MS-00623-1988,1
MS-00624-1988,1
MS-00625-1989,0
MS-00626-1988,1
MS-00627-1988,1
MS-00629-1988,1
MS-00630-1988,1
MS-00631-1988,1
MS-00632-1988,2
MS-00633-1988,2
MS-00634-1988,1
MS-00635-1988,1
MS-00636-1988,1
MS-00637-1988,1
MS-00639-1988,1
MS-00640-1988,1
MS-00641-1988,1
MS-00642-1988,1
MS-00643-1988,1
MS-00644-1988,1
MS-00645-1988,1
MS-00646-1988,1
MS-00647-1988,1
MS-00648-1988,1
MS-00649-1988,1
MS-00650-1988,1
MS-00651-1988,1
MS-00652-1988,1
MS-00653-1988,1
MS-00654-1988,1
MS-00655-1988,1
MS-00656-1988,1
MS-00657-1988,1
MS-00658-1988,1
MS-00659-1988,1
MS-00660-1988,1
MS-00661-1988,1
MS-00662-1988,1
MS-00663-1988,1
MS-00664-1988,1
MS-00665-1988,1
MS-00666-1988,1
MS-00667-1988,1
MS-00668-1988,1
MS-00669-1988,1
MS-00670-1988,1
MS-00671-1988,1
MS-00672-1988,1
MS-00673-1988,1
MS-00674-1988,1
MS-00675-1988,1
MS-00676-1988,1
MS-00677-1988,1
MS-00678-1988,1
MS-00679-1988,1
MS-00680-1988,1
MS-00681-1988,1
MS-00682-1988,1
MS-00683-1988,1
MS-00684-1988,1
MS-00685-1988,1
MS-00686-1988,1
MS-00687-1988,1
MS-00688-1988,1
MS-00689-1988,1
MS-00690-1988,1
MS-00691-1988,1
MS-00692-1988,1
MS-00693-1988,1
MS-00694-1988,1
MS-00695-1988,1
MS-00696-1988,1
MS-00697-1988,1
MS-00698-1988,1
MS-00699-1988,1
MS-00700-1988,1
MS-00701-1988,1
MS-00702-1988,1
MS-00703-1988,1
MS-00704-1988,1
MS-00705-1988,1
MS-00706-1988,1
MS-00707-1988,1
MS-00708-1988,1
MS-00709-1988,1
MS-00710-1988,2
MS-00711-1988,1
MS-00712-1988,1
MS-00713-1988,1
MS-00715-1988,1
MS-00716-1988,1
MS-00717-1988,1
MS-00718-1988,1
MS-00719-1988,1
MS-00720-1988,1
MS-00721-1988,1
MS-00722-1988,1
MS-00723-1988,1
MS-00724-1988,1
MS-00725-1988,1
MS-00727-1988,1
MS-00728-1988,1
MS-00729-1988,1
MS-00732-1988,1
MS-00733-1988,1
MS-00734-1988,1
MS-00735-1988,1
MS-00736-1988,1
MS-00737-1988,1
MS-00738-1988,1
MS-00739-1988,1
MS-00740-1988,1
MS-00741-1988,1
MS-00742-1988,1
MS-00743-1988,1
MS-00744-1988,1
MS-00745-1988,1
MS-00746-1988,1
MS-00749-1988,1
MS-00750-1988,1
MS-00750-1988VERSO,0
MS-00751-1988,0
MS-00752-1988,1
MS-00753-1988,1
MS-00754-1988,1
MS-00755-1988,1
MS-00756-1988,1
MS-00757-1988,1
MS-00758-1988,1
MS-00759-1988,1
MS-00760-1988,1
