Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NG.K&H.B.09850,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09851,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09852,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09852VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09853,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09854,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09855,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09856,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09856VERSO,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09857,Billedkunst,(1970) (plate) / (1970) (trykk),Kjøpt 2012
NG.K&H.B.09858,Billedkunst,,
NG.K&H.B.09859,Billedkunst,,
NG.K&H.B.09860,Billedkunst,-1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09861,Billedkunst,25. juni (1825),Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09862,Billedkunst,25. juni 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09863,Billedkunst,27. juni 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09864,Billedkunst,27. juni (1825),Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09864VERSO,Billedkunst,28. juni 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09865,Billedkunst,28. juni 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09866,Billedkunst,29. juni (1825),Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09867,Billedkunst,30. juni (1825),Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09868,Billedkunst,1. juli (1825),Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09869,Billedkunst,7. juli 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09870,Billedkunst,Antagelig 7. juli 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09871,Billedkunst,7. juli 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09872,Billedkunst,(Juli 1825),Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09872VERSO,Billedkunst,20. juli 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09873,Billedkunst,20. juli 1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09873VERSO,Billedkunst,-1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09874,Billedkunst,-1825,Gave fra Ragnhild Isdahl 1990
NG.K&H.B.09875,Billedkunst,Antagelig 1848,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09876,Billedkunst,Antagelig 1846 eller 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09876VERSO,Billedkunst,Antagelig 1846 eller 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09877,Billedkunst,Mellom 1837 og 1848,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09878,Billedkunst,8. juli 1846,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09878VERSO,Billedkunst,Antagelig 1846,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09879,Billedkunst,21. januar 1846,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09880,Billedkunst,Antagelig 1846 eller 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09881,Billedkunst,Antagelig 1846 eller 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09882,Billedkunst,Uten år,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09883,Billedkunst,7. august 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09883VERSO,Billedkunst,Antagelig 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09884,Billedkunst,Antagelig 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09884VERSO,Billedkunst,Antagelig 1847,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09885,Billedkunst,16. september 1838,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09886,Billedkunst,Etter 1845,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09887,Billedkunst,Uten år,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
NG.K&H.B.09887VERSO,Billedkunst,Uten år,"Testamentarisk gave fra Adolph Tidemand, innkommet 1887"
