Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NMK.2012.0170,Billedkunst,1993,Overført fra Riksutstillinger 2012
NMK.2012.0171,Billedkunst,1995,Overført fra Riksutstillinger 2012
NMK.2012.0172,Billedkunst,2000,Overført fra Riksutstillinger 2012
NMK.2012.0173,Billedkunst,1999,Overført fra Riksutstillinger 2012
NMK.2012.0174,Billedkunst,1989,Overført fra Riksutstillinger 2012
NMK.2012.0175,Billedkunst,1988,Overført fra Riksutstillinger 2012
NMK.2012.0176,Billedkunst,1995,Overført fra Riksutstillinger 2012
NMK.2012.0177,Billedkunst,2000,Overført fra Riksutstillinger 2012
NMK.2012.0179,Billedkunst,1994,Overført fra Riksutstillinger 2012
NMK.2012.0180,Billedkunst,1986/2002,Overført fra Riksutstillinger 2012
NMK.2012.0181,Billedkunst,u.å.,Overført fra Riksutstillinger 2012
NMK.2012.0182,Billedkunst,1994,Overført fra Riksutstillinger 2012
NMK.2012.0183,Billedkunst,2001,Overført fra Riksutstillinger 2012
NMK.2012.0184,Billedkunst,2001,Overført fra Riksutstillinger 2012
NMK.2012.0185,Billedkunst,1990,Overført fra Riksutstillinger 2012
NMK.2012.0186,Billedkunst,1999,Overført fra Riksutstillinger 2012
NMK.2012.0187,Billedkunst,2002,Overført fra Riksutstillinger 2012
NMK.2012.0188,Billedkunst,1994,Overført fra Riksutstillinger 2012
NMK.2012.0191,Billedkunst,1995,Overført fra Riksutstillinger 2012
NMK.2012.0192,Billedkunst,1995,Overført fra Riksutstillinger 2012
NMK.2012.0193,Billedkunst,1997,Overført fra Riksutstillinger 2012
NMK.2012.0194,Billedkunst,1993,Overført fra Riksutstillinger 2012
NMK.2012.0195,Billedkunst,1993,Overført fra Riksutstillinger 2012
NMK.2012.0196,Billedkunst,1993,Overført fra Riksutstillinger 2012
NMK.2012.0197,Billedkunst,1993,Overført fra Riksutstillinger 2012
NMK.2012.0199,Billedkunst,1997,Overført fra Riksutstillinger 2012
NMK.2012.0203,Billedkunst,Uten år,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0204,Billedkunst,Antagelig 1990-årene  ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0205,Billedkunst,(1998) (plate) / 1998 (trykk)    ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0206,Billedkunst,(1994) (plate) / 1994 (trykk)  ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0207,Billedkunst,u.å.,Overført fra Riksutstillinger 2012
NMK.2012.0208,Billedkunst,u.å.,Overført fra Riksutstillinger 2012
NMK.2012.0209,Billedkunst,-1990,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0210,Billedkunst,Før 1990 (plate) / (1990) (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0211,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0212,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0213,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0214,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0215,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0216,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0217,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0218,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0219,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0220,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0221,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0222,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0223,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0224,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0225,Billedkunst,Før 1990 (plate) / 1990 (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0226,Billedkunst,Antagelig 1987 (plate) / 1987 (trykk)  ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0227,Billedkunst,(1992) (plate) / 1992 (trykk)  ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0228,Billedkunst,Uten år  ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0229,Billedkunst,-1996,"Overført fra Riksutstillinger, innkommet 2012  "
NMK.2012.0230,Billedkunst,1999,Overført fra Riksutstillinger 2012
NMK.2012.0231,Billedkunst,(1991) (plate) / (1991) (trykk)  ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0232,Billedkunst,(1991) (plate) / 1991 (trykk)  ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0233,Billedkunst,1982,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0235,Billedkunst,1995,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0236,Billedkunst,Uten år,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0237,Billedkunst,1997 (trykk)  ,"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0238,Billedkunst,2009,Kjøpt 2012
NMK.2012.0244,Billedkunst,-2012,Kjøpt 2012
NMK.2012.0245,Billedkunst,1940,Kjøpt 2012
NMK.2012.0246,Billedkunst,1936,Kjøpt 2012
NMK.2012.0247,Billedkunst,1940,Kjøpt 2012
NMK.2012.0248,Billedkunst,1940,Kjøpt 2012
NMK.2012.0250,Billedkunst,2012,Gave fra kunstneren 2012
NMK.2012.0254,Billedkunst,2012,Ervervet 2012
NMK.2012.0255,Billedkunst,2012,Ervervet 2012
NMK.2012.0256,Billedkunst,2012,Ervervet 2012
NMK.2012.0257,Billedkunst,2012,Ervervet 2012
NMK.2012.0259,Billedkunst,Før 1990 (plate) / (1990) (trykk),"Overført fra Riksutstillinger, innkommet 2012"
NMK.2012.0260,Billedkunst,1980,Kjøpt 2012  
NMK.2012.0263,Billedkunst,Antagelig 1792,Kjøpt 2012
NMK.2012.0272,Billedkunst,(1937) (plate),Kjøpt 2012  
NMK.2012.0275,Billedkunst,2001,Overført fra Riksutstillinger 2012
NMK.2012.0276,Billedkunst,2000,Overført fra Riksutstillinger 2012
NMK.2012.0279,Billedkunst,1985/2003,Overført fra Riksutstillinger 2012
NMK.2012.0282,Billedkunst,2002,Overført fra Riksutstillinger 2012
NMK.2012.0283,Billedkunst,1994,Overført fra Riksutstillinger 2012
NMK.2012.0284,Billedkunst,2008 - 2009,Kjøpt 2012
NMK.2013.0005,Billedkunst,,Kjøpt 2013
NMK.2013.0006,Billedkunst,,Kjøpt 2013
NMK.2013.0007,Billedkunst,,Kjøpt 2013
NMK.2013.0008,Billedkunst,,Kjøpt 2013
NMK.2013.0009,Billedkunst,,Kjøpt 2013
NMK.2013.0010,Billedkunst,,Kjøpt 2013
NMK.2013.0011,Billedkunst,,Kjøpt 2013
NMK.2013.0012,Billedkunst,,Kjøpt 2013
NMK.2013.0013,Billedkunst,,Kjøpt 2013
NMK.2013.0014,Billedkunst,,Kjøpt 2013
NMK.2013.0015,Billedkunst,,Kjøpt 2013
NMK.2013.0016,Billedkunst,,Kjøpt 2013
NMK.2013.0022,Billedkunst,,
NMK.2013.0140,Billedkunst,,
NMK.2013.0178,Billedkunst,,
NMK.2013.0194,Billedkunst,1991,"Overført fra Riksutstillinger, innkommet 2013"
NMK.2013.0196,Billedkunst,1973,Kjøpt 2013
NMK.2013.0198,Billedkunst,2012,Kjøpt 2013
NMK.2013.0212,Billedkunst,2012,Kjøpt 2013
NMK.2013.0213,Billedkunst,,
NMK.2013.0214,Billedkunst,,
NMK.2013.0215,Billedkunst,,
NMK.2013.0216,Billedkunst,,
NMK.2013.0217,Billedkunst,1934,"Kjøpt fra Blomqvist Kunsthandel våren 2013, utenom auksjon"
NMK.2013.0223,Billedkunst,,
NMK.2013.0224,Billedkunst,,
NMK.2013.0225,Billedkunst,,
NMK.2013.0226,Billedkunst,,
NMK.2013.0228,Billedkunst,Før 2013,Kjøpt 2013
NMK.2013.0229,Billedkunst,Før 2013,Kjøpt 2013
NMK.2013.0229verso,Billedkunst,Før 2013,Kjøpt 2013
NMK.2013.0230,Billedkunst,Før 2013,Kjøpt 2013
NMK.2013.0231,Billedkunst,Før 2013,Kjøpt 2013
NMK.2013.0232,Billedkunst,Før 2013,Kjøpt 2013
NMK.2013.0233,Billedkunst,Før 2013,Kjøpt 2013
NMK.2013.0236,Billedkunst,,
NMK.2013.0237,Billedkunst,,
NMK.2013.0238,Billedkunst,,
NMK.2013.0239,Billedkunst,,
NMK.2013.0240,Billedkunst,,
NMK.2013.0241,Billedkunst,,
NMK.2013.0242,Billedkunst,,
NMK.2013.0243,Billedkunst,,
NMK.2013.0244,Billedkunst,,
NMK.2013.0245,Billedkunst,,
NMK.2013.0246,Billedkunst,,
NMK.2013.0247,Billedkunst,,
NMK.2013.0248,Billedkunst,,
NMK.2013.0249,Billedkunst,,
NMK.2013.0250,Billedkunst,,
NMK.2013.0251,Billedkunst,,
NMK.2013.0252,Billedkunst,,
NMK.2013.0273,Billedkunst,1972,Kjøpt 2013
NMK.2013.0276,Billedkunst,,Kjøpt Kaare Berntsen Kunsthandel 2013
NMK.2013.0277,Billedkunst,1934,Kjøpt fra Kaare Berntsens kunsthandel 2013
NMK.2013.0278,Billedkunst,1973,"Kjøpt på auksjon Galerie Kornfeld Auktionen nr. 258, del 2, 14.juni 2013"
NMK.2013.0279,Billedkunst,1973,"Kjøpt på auksjon Galerie Kornfeld Auktionen nr. 258, del 2, 14.juni 2013"
NMK.2013.0280,Billedkunst,1973,"Kjøpt på auksjon Galerie Kornfeld Auktionen nr. 258, del 2, 14.juni 2013"
NMK.2013.0281,Billedkunst,1973,"Kjøpt på auksjon Galerie Kornfeld Auktionen nr. 258, del 2, 14.juni 2013"
NMK.2013.0282,Billedkunst,1973,"Kjøpt på auksjon Galerie Kornfeld Auktionen nr. 258, del 2, 14.juni 2013"
NMK.2013.0283,Billedkunst,1973,"Kjøpt på auksjon Galerie Kornfeld Auktionen nr. 258, del 2, 14.juni 2013"
NMK.2013.0284,Billedkunst,1973,"Kjøpt på auksjon Galerie Kornfeld Auktionen nr. 258, del 2, 14.juni 2013"
NMK.2013.0286,Billedkunst,,
NMK.2013.0288,Arkitektur,Mellom 1947 og 1949,Gave 2013
NMK.2013.0305,Billedkunst,,
OK-15985,Billedkunst,1912,"Testamentarisk gave fra Marthine Mordt Rygh, 1961"
1,Billedkunst,,
50000,Billedkunst,,
Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NG.K&H.B.05697,Billedkunst,Antagelig mellom 1801 og 1804,"Trolig testamentarisk gave fra Sophus Larpent, innkommet i 1914"
NG.K&H.B.07973,Billedkunst,Før 1871,"Til ""Smeden de ikke torde slippe ind i helvede"", P. Chr. Asbjörnsen og J. Moe, Folke- og Huldreeventyr, Hundreaarsudgaven. Kristiania og København , bd. 1, s. 86  Ervervelsesopplysninger under arbeid"
NG.K&H.B.04303,Billedkunst,1843,"Testamentorisk gave, innkommet 1887    "
NG.K&H.B.02144,Billedkunst,1826,"Testamentatisk gave fra Siegwald Dahl, innkommet 1902"
NG.K&H.B.01900,Billedkunst,1817,"Testamentarisk gave, innkommet 1902"
NG.K&H.B.01900VERSO,Billedkunst,1817,"Testamentarisk gave, innkommet 1902"
NG.K&H.B.04498,Billedkunst,1852,"Testamentarisk gave, innkommet 1887       "
NG.K&H.B.08023,Billedkunst,1862 eller 1863,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04499,Billedkunst,1852,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04384,Billedkunst,1849,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04385,Billedkunst,1849,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04388,Billedkunst,1849,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04350,Billedkunst,1848,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04351,Billedkunst,1848,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04353,Billedkunst,1848,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04358,Billedkunst,1848,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04362,Billedkunst,1848,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04476,Billedkunst,1845,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04337,Billedkunst,1844,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.08025,Billedkunst,1843,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04451,Billedkunst,1839,"Testamentarisk gave, innkommet 1887      "
NG.K&H.B.04397,Billedkunst,Antagelig 1848,"Testamentarisk gave, innkommet 1887    "
NG.K&H.B.04482,Billedkunst,Antagelig 1843,"Testamentarisk gave, innkommet 1887    "
NG.K&H.B.04326,Billedkunst,2. september 1843,"Testamentarisk gave, innkommet 1887    "
NG.K&H.B.04304,Billedkunst,1842,"Testamentarisk gave, innkommet 1887    "
NG.K&H.B.04321,Billedkunst,11. august 1843,"Testamentarisk gave, innkommet 1887    "
NG.K&H.B.07769,Billedkunst,Uten år,"Testamentarisk gave, innkommet 1887  "
NG.K&H.B.04324,Billedkunst,23. august 1843    ,"Testamentarisk gave, innkommet 1887  "
NG.K&H.B.04334,Billedkunst,1849,"Testamentarisk gave, innkommet 1887  "
NG.K&H.B.04323,Billedkunst,17. august 1843,"Testamentarisk gave, innkommet 1887  "
NG.K&H.B.04131,Billedkunst,Uten år,"Testamentarisk gave, innkommet 1887"
NG.K&H.B.04131VERSO,Billedkunst,Uten år,"Testamentarisk gave, innkommet 1887"
NG.K&H.B.04097,Billedkunst,19. juli 1843  ,"Testamentarisk gave, innkommet 1887"
NG.K&H.B.04270,Billedkunst,1841,"Testamentarisk gave, innkommet 1887"
NG.K&H.B.04394,Billedkunst,1849,"Testamentarisk gave,  innkommet 1887      "
NG.K&H.B.03778,Billedkunst,antagelig 1892,Testamentarisk gave innkommet 1929
NG.K&H.B.08102,Billedkunst,1905,Testamentarisk gave innkommet 1929
NG.K&H.B.08101,Billedkunst,1873,Testamentarisk gave innkommet 1929
NG.K&H.B.08098,Billedkunst,1894,Testamentarisk gave innkommet 1914
NG.K&H.B.02200VERSO,Billedkunst,Antagelig 1826,Testamentarisk gave innkommet 1902
NG.K&H.B.02188,Billedkunst,29. juli 1826,Testamentarisk gave innkommet 1902
NG.K&H.B.01697,Billedkunst,27. august 1820,Testamentarisk gave innkommet 1902
NG.K&H.B.02637,Billedkunst,27. august 1820,Testamentarisk gave innkommet 1902
NG.K&H.B.02651,Billedkunst,27. august 1820,Testamentarisk gave innkommet 1902
NG.K&H.B.02200,Billedkunst,26.05.1826,Testamentarisk gave innkommet 1902
NG.K&H.B.02686,Billedkunst,15. oktober 1820,Testamentarisk gave innkommet 1902
NG.K&H.B.02716,Billedkunst,14. juli 1826,Testamentarisk gave innkommet 1902
NG.K&H.B.02733,Billedkunst,(28. juli 1826),Testamentarisk gave innkommet 1902
NG.K&H.B.04280,Billedkunst,1842,Testamentarisk gave innkommet 1887
NG.K&H.B.04275,Billedkunst,1841,Testamentarisk gave innkommet 1887
NG.K&H.B.05397,Billedkunst,Slutten av 1790-tallet  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914  "
NG.K&H.B.01454,Billedkunst,1856,"Testamentarisk gave fra Sophus Larpent, innkommet 1914  "
NG.K&H.B.06139,Billedkunst,18.07.1871,"Testamentarisk gave fra Sophus Larpent, innkommet 1914  "
NG.K&H.B.05395,Billedkunst,Uten år,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05396,Billedkunst,Uten år,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05600,Billedkunst,Uten år,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07894,Billedkunst,November 1893,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07897,Billedkunst,November 1893,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07904,Billedkunst,November 1893,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07917,Billedkunst,November 1893,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07918,Billedkunst,November 1893,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07872,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07873,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07874,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07875,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07876,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07877,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07878,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07879,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07880,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07883,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07884,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07885,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07886,Billedkunst,Mellom 1893 og 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06145,Billedkunst,Mellom 1860 og 1874,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05514,Billedkunst,Mellom 1812 og 1816  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05301,Billedkunst,Mellom 1805 og 1850  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06063,Billedkunst,Mai 1861   ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07513,Billedkunst,Juni 1883  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07888,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07889,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07890,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07891,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07892,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07893,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07893VERSO,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07895,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07896,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07898,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07899,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07900,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07901,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07902,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07903,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07905,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07906,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07908,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07909,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07910,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07911,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07913,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07914,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07915,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07916,Billedkunst,Fra 1893 til 1894,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07907,Billedkunst,Desember 1893,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01459,Billedkunst,April 1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05307,Billedkunst,Antagelig mellom 1810 og 1816  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05513,Billedkunst,Antagelig mellom 1800 og 1830  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01438,Billedkunst,Antagelig 1949  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06149,Billedkunst,Antagelig 1871,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01466VERSO,Billedkunst,Antagelig 1870,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01465,Billedkunst,Antagelig 1868  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01427,Billedkunst,Antagelig 1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05302,Billedkunst,Antagelig 1815 eller 1816  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05303VERSO,Billedkunst,Antagelig 1806,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05399,Billedkunst,Antagelig 10. februar 1809    ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06159,Billedkunst,9. august 1870  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01466,Billedkunst,29. juli 1870  ,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01452,Billedkunst,24.11.1849-1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01457,Billedkunst,22.12.1849,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01428,Billedkunst,22.04.1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01424,Billedkunst,22. april 1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06144,Billedkunst,21.07.1867,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01455,Billedkunst,20.11.1849,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.07881,Billedkunst,1893,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01471,Billedkunst,1872,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06154,Billedkunst,1871,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06142,Billedkunst,1870,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06156,Billedkunst,1870,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01474,Billedkunst,1869,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01473,Billedkunst,1868,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06158,Billedkunst,1868,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06152,Billedkunst,1867,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06157,Billedkunst,1865 Ant.,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05411,Billedkunst,1865,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06143,Billedkunst,1861,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.06155,Billedkunst,1861,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05345,Billedkunst,1851,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01425,Billedkunst,1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01426,Billedkunst,1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01429,Billedkunst,1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01434,Billedkunst,1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01443,Billedkunst,1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01444,Billedkunst,1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01460,Billedkunst,1850,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01441,Billedkunst,1849,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01448,Billedkunst,1849,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01449,Billedkunst,1849,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01456,Billedkunst,1849,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.01461,Billedkunst,1849,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05336,Billedkunst,1849,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05288,Billedkunst,1831,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.05306,Billedkunst,1815,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
