INTVENTARNUMMER,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,FØDESTED,DØDSSTED,Koordinat fødested,Koordinat dødssted,Nasjonalitet kunstner,Kjønn kunstner,Yrke kunstner,Navn produsent,Nasjonalitet produsent,Produsent etablert,Bransje produsent,BETEGNELSE,Presisert betegnelse,EMNEORD,FARGE,Produksjonssted,Koordinat produksjonssted,Produsert fra dato,Produsert til dato,Aksesjon fra dato,Aksesjon til dato
NG.K&H.A.09370,Amandus,Dier,,,,,,,,,,,,,,Grafikk,,Bildende kunst,,,,1924,1924,,
NG.K&H.A.09371,Amandus,Dier,,,,,,,,,,,,,,Grafikk,,Bildende kunst,,,,1924,1924,,
NG.K&H.A.09413,,Janke,,,,,,,Tyskland,Ukjent,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09417,Henri,Matisse,1869,1954,Le Cateau -Cambrésis (Frankrike),Frankrike,,"46.227638, 2.213749000000007",Frankrike,Mann,Billedkunstner,,,,,Grafikk,Hors commerce,Bildende kunst,,,,,,,
NG.K&H.A.09418,Henri de,Toulouse-Lautrec,1864,1901,,,,,Frankrike,Mann,Billedkunstner,,,,,Grafikk,,Bildende kunst,,,,1895,1895,,
NG.K&H.A.09420,Édouard,Manet,1832,1883,Paris (Frankrike),Paris (Frankrike),"48.856614, 2.3522219000000177","48.856614, 2.3522219000000177",Frankrike,Mann,Billedkunstner,,,,,Grafikk,Hors commerce,Bildende kunst,,,,1868,1884,1919,1919
NG.K&H.A.09422,Marcel,Gromaire,1892,1971,,,,,Frankrike,Mann,Billedkunstner,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09427,Guido Josef,Kern,1878,1953,,,,,Tyskland,,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09428,A,Doncker,,,,,,,Tyskland,Ukjent,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09430,Georg,Haas,1751,1817,,,,,Danmark,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09431,Olivier,Kaeppelin,,,,,,,Frankrike,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09433,August,Haun,1815,,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09434,August,Haun,1815,,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09435,Carl Georg Anton,Graeb,1816,1884,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09436,Pieter Jansz.,Quast,1606,1647,,,,,Nederland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09437,norsk,Ukjent kunstner,,,,,,,Norge,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09438,dansk,Ukjent mester,,,,,,,Danmark,,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09441,Jan van,Troyen,1610,1666,,,,,Nederland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09442,Ferdinand,Berger,,,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09446,Johannes,Stradanus,,,,,,,,,Maler,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09453,Carl,Frommel,1789,1863,,,,,Tyskland,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09466,svensk,Ukjent kunstner,,,,,,,Sverige,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09467,svensk,Ukjent kunstner,,,,,,,Sverige,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
NG.K&H.A.09472,,,,,,,,,Tyskland,,,,,,,Grafikk,,Bildende kunst,,,,,,,
