INTVENTARNUMMER,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,FØDESTED,DØDSSTED,Koordinat fødested,Koordinat dødssted,Nasjonalitet kunstner,Kjønn kunstner,Yrke kunstner,Navn produsent,Nasjonalitet produsent,Produsent etablert,Bransje produsent,BETEGNELSE,Presisert betegnelse,EMNEORD,FARGE,Produksjonssted,Koordinat produksjonssted,Produsert fra dato,Produsert til dato,Aksesjon fra dato,Aksesjon til dato
MS-02555-1988,Ole,Fadum,1938,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1979,1979,,
MS-02556-1988,Ole,Fadum,1938,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1986,1986,,
MS-02557-1988,Knut,Flatin,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02558-1988,Knut,Flatin,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02559-1988,Gro,Folkan,1949,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1970,1970,,
MS-02560-1988,Hilmar,Fredriksen,1953,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02561-1988,Helge,Fromreide,1955,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02562-1988,Brit,Fuglevaag,1939,,,,,,Norge,Kvinne,Tekstilkunstner,,,,,Tekstil,,Bildende kunst,,,,1970,1970,,
MS-02563-1988,Dag,Fyri,1949,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
MS-02564-1988,Dag,Fyri,1949,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02565-1988,Dag,Fyri,1949,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02566-1988,Runa,Førde,1933,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02567-1988,Jan,Groth,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Tekstil,,Bildende kunst,,,,1970,1970,,
MS-02568-1988,Rolf,Groven,1943,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1977,1977,,
MS-02569-1988,Håkon,Grønlien,1952,,,,,,Norge,Mann,Billedkunstner,,,,,Tegning,,Bildende kunst,,,,1982,1982,,
MS-02570-1988,Håkon,Gullvåg,1959,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02571-1988,Håkon,Gullvåg,1959,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1982,1982,,
MS-02572-1988,Håkon,Gullvåg,1959,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02573-1988,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1958,1958,1988,1988
MS-02574-1988,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1963,1963,,
MS-02575-1988,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1965,1965,,
MS-02576-1988,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1964,1964,,
MS-02577-1988,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1966,1966,1988,1988
MS-02578-1988,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1974,1974,,
MS-02579-1988,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1966,1966,,
MS-02580-1988,Gunnar S.,Gundersen,1921,1983,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1949,1949,,
MS-02581-1988,Kurt Edvin,Hansen,1952,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02582-1988,Tore,Hansen,1949,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02583-1988,Johanne Marie,Hansen-Krone,1952,,,,,,Norge,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1979,1979,,
MS-02584-1988,Johanne Marie,Hansen-Krone,1952,,,,,,Norge,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02585-1988,Jan,Harr,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1971,1971,,
MS-02586-1988,Jan,Harr,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1973,1973,,
MS-02587-1988,Karl Erik,Harr,1940,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02588-1988,Halvard,Haugerud,1957,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,,,,
MS-02589-1988,Thore,Heramb,1916,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1952,1952,,
MS-02590-1988,Thore,Heramb,1916,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1961,1961,,
MS-02591-1988,Thore,Heramb,1916,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1963,1963,,
MS-02592-1988,Thore,Heramb,1916,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1969,1969,,
MS-02593-1988,Thore,Heramb,1916,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1970,1970,,
MS-02594-1988,Thore,Heramb,1916,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02595-1988,Thore,Heramb,1916,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
MS-02596-1988,Thore,Heramb,1916,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
MS-02597-1988,Olav,Herman-Hansen,1935,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02598-1988,Marianne,Heske,1946,,,,,,Norge,Kvinne,Billedkunstner,,,,,Assemblage,,Bildende kunst,,,,1975,1975,,
MS-02599-1988,Marianne,Heske,1946,,,,,,Norge,Kvinne,Billedkunstner,,,,,Fotografi,,Bildende kunst,,,,1976,1976,,
MS-02600-1988,Marianne,Heske,1946,,,,,,Norge,Kvinne,Billedkunstner,,,,,Fotografi,,Bildende kunst,,,,1976,1976,,
MS-02601-1988,Marianne,Heske,1946,,,,,,Norge,Kvinne,Billedkunstner,,,,,Fotografi,,Bildende kunst,,,,1976,1976,,
MS-02602-1988,Marianne,Heske,1946,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1986,1986,,
MS-02603-1988,Tor,Hoff,1925,1976,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1973,1973,,
MS-02604-1988,Tor,Hoff,1925,1976,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1973,1973,,
MS-02605-1988,Tor,Hoff,1925,1976,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1975,1975,,
MS-02606-1988,Bjørg,Holene,1947,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1979,1979,,
MS-02607-1989,Bjørg,Holene,1947,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1987,1987,1987,1987
MS-02608-1988,Bjarne,Holst,1944,1993,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1970,1970,,
MS-02609-1988,Bjarne,Holst,1944,1993,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1975,1975,,
MS-02610-1988,Adolph Denis,Horn,1933,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1971,1971,,
MS-02611-1988,Arve,Hovig,1944,1999,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02612-1988,Arve,Hovig,1944,1999,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1986,1987,,
MS-02613-1988,Carol Comiskey,Haaker,1941,,,,,,,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02614-1988,Tone,Indrebø,1954,,,,,,Norge,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1986,1986,,
MS-02615-1988,Ramon,Isern,1914,1989,,,,,,Mann,,,,,,Collage,,Bildende kunst,,,,1978,1979,,
MS-02616-1988,Ramon,Isern,1914,1989,,,,,,Mann,,,,,,Collage,,Bildende kunst,,,,1968,1968,,
MS-02617-1988,Olav Christopher,Jenssen,1954,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1982,1983,,
MS-02618-1988,Olav Christopher,Jenssen,1954,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1984,1985,,
MS-02619-1988,Jens,Johannessen,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1964,1964,1988,1988
MS-02620-1988,Jens,Johannessen,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Collage,,Bildende kunst,,,,1965,1965,,
MS-02621-1988,Jens,Johannessen,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1971,1971,,
MS-02622-1988,Jens,Johannessen,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1970,1971,,
MS-02623-1988,Ann Elisabeth,Johansen,1955,,,,,,Norge,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02624-1988,Svein,Johansen,1946,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02625-1988,Svein,Johansen,1946,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02626-1988,Svein,Johansen,1946,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1984,1984,1984,1984
MS-02627-1988,Svein,Johansen,1946,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
MS-02628-1988,Morten,Juvet,1953,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
MS-02629-1988,Irma Salo,Jæger,1928,,,,,,Finland,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1961,1961,,
MS-02630-1988,Irma Salo,Jæger,1928,,,,,,Finland,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1964,1964,,
MS-02631-1988,Irma Salo,Jæger,1928,,,,,,Finland,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02632-1988,Knut,Jørgensen,1937,1991,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02633-1988,Knut,Jørgensen,1937,1991,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1969,1969,,
MS-02634-1988,Knut,Jørgensen,1937,1991,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1969,1969,,
MS-02635-1988,Anders,Kjær,1940,,,,,,Norge,Mann,Billledkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02636-1988,Anders,Kjær,1940,,,,,,Norge,Mann,Billledkunstner,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02637-1988,Per,Kleiva,1933,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1971,1971,,
MS-02638-1988,Per,Kleiva,1933,,,,,,Norge,Mann,Billedkunstner,,,,,Assemblage,,Bildende kunst,,,,1967,1967,,
MS-02639-1988,Per,Kleiva,1933,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02640-1988,Per,Kleiva,1933,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02641-1988,Per,Kleiva,1933,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
MS-02642-1988,Johan,Knoff,1935,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1979,1979,,
MS-02643-1988,Helge,Korvald,1951,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1979,1980,,
MS-02644-1988,Helge,Korvald,1951,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02645-1988,Bjørn Arne,Krogstad,1943,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1974,1974,1988,1988
MS-02646-1988,Bjørn Arne,Krogstad,1943,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,1988,1988
MS-02647-1988,Bjørn Arne,Krogstad,1943,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1982,1982,,
MS-02648-1988,Morten,Krohg,1937,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02649-1988,Harald,Krokstad,1946,,,,,,Norge,Mann,,,,,,Tegning,,Bildende kunst,,,,1978,1978,,
MS-02650-1988,Harald,Krokstad,1946,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02651-1988,Snorre,Kyllingmark,1948,,,,,,Norge,Mann,Billedkunsrner,,,,,Maleri,,Bildende kunst,,,,1980,1980,1988,1988
MS-02652-1988,Roald,Kyllingstad,1942,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02653-1988,Ellen,Lenvik,1946,,,,,,Norge,Kvinne,Bildekunstner,,,,,Tekstil,,Bildende kunst,,,,1984,1984,,
MS-02654-1988,Tom,Lid,1952,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1982,1982,,
MS-02655-1988,Tom,Lid,1952,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02656-1988,Halvdan,Ljøsne,1929,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1965,1965,,
MS-02657-1988,Halvdan,Ljøsne,1929,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1969,1969,1988,1988
MS-02658-1988,Halvdan,Ljøsne,1929,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02659-1988,Solveig,Lohne,1945,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02660-1988,Ida,Lorentzen,1951,,,,,,Norge,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02661-1988,Ida,Lorentzen,1951,,,,,,Norge,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
MS-02662-1988,Leif,Lundgren,1945,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1974,1974,,
MS-02663-1988,Arne Haavardsholm,Malmedal,1937,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1967,1967,1988,1988
MS-02664-1988,Arne Haavardsholm,Malmedal,1937,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1982,1982,,
MS-02665-1988,Arne Haavardsholm,Malmedal,1937,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1985,1985,1988,1988
MS-02666-1988,Svein,Mamen,1955,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1980,1981,1988,1988
MS-02667-1988,Anne,Mariendal,1948,,,,,,Norge,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1976,1976,,
MS-02668-1988,Terje,Moe,1943,2004,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1976,1976,,
MS-02669-1988,Terje,Moe,1943,2004,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,,,,
MS-02670-1988,Terje,Moe,1943,2004,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1977,1977,,
MS-02671-1988,Rolv,Muri,1921,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1976,1976,,
MS-02672-1988,Odd,Nerdrum,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1973,1973,,
MS-02673-1988,Odd,Nerdrum,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1975,1975,,
MS-02673-1988VERSO,Odd,Nerdrum,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
MS-02674-1988,Carl,Nesjar,1920,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1976,1980,,
MS-02675-1988,Ole,Nesvik,1941,1995,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1974,1974,,
MS-02676-1988,Ole,Nesvik,1941,1995,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02677-1988,Lise,Nicolaisen,1926,,,,,,Norge,Kvinne,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1979,1979,,
MS-02678-1988,John David,Nielsen,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1970,1970,,
MS-02679-1988,John David,Nielsen,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1977,1977,,
MS-02680-1988,John David,Nielsen,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02681-1988,John David,Nielsen,1938,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
MS-02682-1988,Jørn,Nilsen,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02683-1988,Ulf,Nilsen,1950,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1979,1980,1988,1988
MS-02684-1988,Ulf,Nilsen,1950,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02685-1988,Ulf,Nilsen,1950,,,,,,Norge,Mann,,,,,,Collage,,Bildende kunst,,,,1978,1978,,
MS-02686-1988,Kjell,Nupen,1955,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,1988,1988
MS-02687-1988,Kjell,Nupen,1955,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02688-1988,Kjell,Nupen,1955,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
MS-02689-1988,Olav,Nygaard,1938,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1976,1976,,
MS-02690-1988,Kjell,Nymoen,1939,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1966,1966,,
MS-02691-1988,Kjell,Nymoen,1939,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1966,1966,,
MS-02692-1988,Kjell,Nymoen,1939,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1970,1970,,
MS-02693-1988,Kjell,Nymoen,1939,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1975,1975,,
MS-02694-1988,Kjell Erik Killi,Olsen,1952,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02695-1988,Tore Gunnar,Olsen,1934,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1964,1964,,
MS-02696-1988,Tore Gunnar,Olsen,1934,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1975,1975,,
MS-02697-1988,Tore Gunnar,Olsen,1934,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02698-1988,Ørnulf,Opdahl,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1977,1977,,
MS-02699-1988,Ørnulf,Opdahl,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02700-1988,Ørnulf,Opdahl,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02701-1988,Kjell,Pahr-Iversen,1937,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1977,1977,,
MS-02702-1988,Arvid,Pettersen,1943,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1976,1976,,
MS-02703-1988,Arvid,Pettersen,1943,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1977,1977,,
MS-02704-1988,Arvid,Pettersen,1943,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02705-1988,Arvid,Pettersen,1943,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1986,1986,,
MS-02706-1988,Terje Torp,Pettersen,1949,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1968,1968,,
MS-02707-1988,Jan,Radlgruber,1940,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1967,1967,,
MS-02708-1988,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1970,1970,1971,1971
MS-02709-1988,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1975,1975,,
MS-02710-1988,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1975,1975,,
MS-02711-1988,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1977,1977,1980,1980
MS-02712-1988,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1982,1982,,
MS-02713-1988,Bjørn,Ransve,1944,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1984,1984,,
MS-02714-1988,Per Hage,Remfeldt,1921,2004,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1974,1974,,
MS-02715-1988,Helge,Revold,1931,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1981,1981,,
MS-02716-1988,Johs,Rian,1891,1981,"Overhalla, Nord-Trøndelag (Norge)","Oslo (fylke), Oslo (Norge)",,"59.9138688, 10.752245399999992",Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1963,1963,,
MS-02717-1988,Johs,Rian,1891,1981,"Overhalla, Nord-Trøndelag (Norge)","Oslo (fylke), Oslo (Norge)",,"59.9138688, 10.752245399999992",Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1968,1968,,
MS-02718-1988,Johs,Rian,1891,1981,"Overhalla, Nord-Trøndelag (Norge)","Oslo (fylke), Oslo (Norge)",,"59.9138688, 10.752245399999992",Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1974,1974,,
MS-02719-1988,Johs,Rian,1891,1981,"Overhalla, Nord-Trøndelag (Norge)","Oslo (fylke), Oslo (Norge)",,"59.9138688, 10.752245399999992",Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1979,1979,,
MS-02720-1988,Leonard,Rickhard,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1973,1974,,
MS-02721-1988,Leonard,Rickhard,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1975,1977,,
MS-02722-1988,Leonard,Rickhard,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1982,1983,,
MS-02723-1988,Leonard,Rickhard,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
MS-02724-1988,Bendik,Riis,1911,1988,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,1988,1988
MS-02725-1988,Bendik,Riis,1911,1988,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1954,1954,,
MS-02726-1988,Bendik,Riis,1911,1988,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1946,1946,,
MS-02727-1988,Bendik,Riis,1911,1988,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1946,1947,,
MS-02728-1988,Bendik,Riis,1911,1988,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
MS-02729-1988,Ole,Rinnan,1940,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1974,1974,,
MS-02730-1988,Ole,Rinnan,1940,,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1977,1977,,
MS-02731-1988,John Anton,Risan,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1964,1964,,
MS-02732-1988,John Anton,Risan,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1968,1968,,
MS-02733-1988,John Anton,Risan,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1976,1976,,
MS-02734-1988,John Anton,Risan,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1978,1978,,
MS-02735-1988,John Anton,Risan,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02736-1988,John Anton,Risan,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1980,1980,,
MS-02737-1988,Terje,Roalkvam,,,,,,,,Mann,Kunstner,,,,,Materialbilde,,Bildende kunst,,,,1986,1986,,
MS-02738-1988,Solrunn,Rones,1951,,,,,,Norge,Kvinne,,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
MS-02739-1988,Knut,Rose,1936,2002,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1968,1968,,
MS-02740-1988,Knut,Rose,1936,2002,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1973,1973,,
MS-02741-1988,Knut,Rose,1936,2002,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1970,1972,1988,1988
MS-02742-1988,Knut,Rose,1936,2002,,,,,Norge,Mann,,,,,,Maleri,,Bildende kunst,,,,1971,1971,,
