KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,Antall verk
Gottlieb FriedrichRiedel1724,Gottlieb Friedrich,Riedel,1724,1784,1
ChristophSchwartz1545,Christoph,Schwartz,1545,1592,3
MaxSlevogt1868,Max,Slevogt,1868,1932,2
Heinrich TheodorWehle1778,Heinrich Theodor,Wehle,1778,2018,2
DanielBerger1744,Daniel,Berger,1744,1824,31
Hans vonCulmbach1500,Hans von,Culmbach,1500,1545,1
AdamFuchs1543,Adam,Fuchs,1543,1580,4
JuliusAllgeyer1829,Julius,Allgeyer,1829,1900,1
JosephCaspar1799,Joseph,Caspar,1799,1880,1
Christian-AugustGünther1760,Christian-August,Günther,1760,1824,28
Johann LorenzHaid1702,Johann Lorenz,Haid,1702,1750,3
Johann GottliebPrestel1739,Johann Gottlieb,Prestel,1739,1808,1
EmilNolde1867,Emil,Nolde,1867,1956,18
EmilStumpp1886,Emil,Stumpp,1886,1941,5
ErnstBarlach1870,Ernst,Barlach,1870,1938,4
ErichHeckel1883,Erich,Heckel,1883,1970,27
CorneliusDrebbel1572,Cornelius,Drebbel,1572,1634,1
Pieter van derBorcht1545,Pieter van der,Borcht,1545,1608,1
FransFloris1518,Frans,Floris,1518,1570,2
Magdalena van dePasse1600,Magdalena van de,Passe,1600,1640,1
AbrahamBloemaert1564,Abraham,Bloemaert,1564,1651,9
FriedrichBloemaert1610,Friedrich,Bloemaert,1610,1669,10
Louis FabriciusDubourg1693,Louis Fabricius,Dubourg,1693,1775,1
Jan VandeCapelle1624,Jan Vande,Capelle,1624,1679,1
Paul van IISomer1649,Paul van II,Somer,1649,1694,2
Chr. DavidGebauer1777,Chr. David,Gebauer,1777,1831,30
Andries DirkzBoth1608,Andries Dirkz,Both,1608,1650,2
Carel deMoor1656,Carel de,Moor,1656,1738,1
HermannNauwinx1624,Hermann,Nauwinx,1624,1654,4
Hendrik van derBurgh1769,Hendrik van der,Burgh,1769,1858,3
HendrickSnyers1612,Hendrick,Snyers,1612,2016,1
NicolaesRyckmans1600,Nicolaes,Ryckmans,1600,1622,1
Giulio A.Bonasone1531,Giulio A.,Bonasone,1531,1574,1
OrazioBorgianni1578,Orazio,Borgianni,1578,1616,2
LudovicoCarracci1555,Ludovico,Carracci,1555,1619,10
LorenzoLoli1612,Lorenzo,Loli,1612,1691,2
JacopoPalma giovane1544,Jacopo,Palma giovane,1544,1628,16
MartinRota1520,Martin,Rota,1520,1583,3
FrancescoMazzuoli1503,Francesco,Mazzuoli,1503,1540,2
FranciscoVillamena1566,Francisco,Villamena,1566,1624,1
BartolomeoSchidone1570,Bartolomeo,Schidone,1570,1615,6
Giovanni FrancescoVenturini1650,Giovanni Francesco,Venturini,1650,1715,4
Giovanni JacopoCaraglio1505,Giovanni Jacopo,Caraglio,1505,1565,3
Giovanni BattistaFranco1510,Giovanni Battista,Franco,1510,1580,4
Giovanni FrancescoGrimaldi1606,Giovanni Francesco,Grimaldi,1606,1680,3
AgostinoVeneziano1490,Agostino,Veneziano,1490,1540,1
Giovanni AndreaPodesta1608,Giovanni Andrea,Podesta,1608,1674,4
BartholomeoPassaroti1529,Bartholomeo,Passaroti,1529,1592,1
BernardinoPassari1540,Bernardino,Passari,1540,1590,1
MarcoRicci1676,Marco,Ricci,1676,1729,5
CamilloProcaccini1546,Camillo,Procaccini,1546,1629,3
Giovanni BattistaFalda1648,Giovanni Battista,Falda,1648,1678,30
MarcusPitteri1702,Marcus,Pitteri,1702,1786,1
Giovanni GirolamoFrezza1659,Giovanni Girolamo,Frezza,1659,1741,1
Friedrich WilhelmGmelin1745,Friedrich Wilhelm,Gmelin,1745,1821,3
LorenzoZucchi1704,Lorenzo,Zucchi,1704,1779,1
AndreaZucchi1678,Andrea,Zucchi,1678,1740,1
DomenicoCunego1727,Domenico,Cunego,1727,1794,1
GiovitaCaravaglia1790,Giovita,Caravaglia,1790,1835,1
FelicePolanzani1700,Felice,Polanzani,1700,1785,4
GiovanniDavid1743,Giovanni,David,1743,1790,2
KarlAudran1594,Karl,Audran,1594,1674,1
Louis MarinBonnet1736,Louis Marin,Bonnet,1736,1793,2
AlexandreCalame1810,Alexandre,Calame,1810,1864,6
Jouis JaquesCathelin1738,Jouis Jaques,Cathelin,1738,1804,1
JusteChevillet1729,Juste,Chevillet,1729,1790,1
Anne-Claude de TubièresCaylus1692,Anne-Claude de Tubières,Caylus,1692,1765,4
Georg AbrahamHackert1755,Georg Abraham,Hackert,1755,1805,1
FrancoisGodefroy1743,Francois,Godefroy,1743,1819,1
RobertGaillard1722,Robert,Gaillard,1722,1785,1
Nicolas GabrielDupuis1698,Nicolas Gabriel,Dupuis,1698,1771,1
CharlesDupuis1685,Charles,Dupuis,1685,1742,1
Dominique VivantDenon1747,Dominique Vivant,Denon,1747,1825,3
ÉtienneFessard1714,Étienne,Fessard,1714,1777,2
JeanBoulanger1607,Jean,Boulanger,1607,1680,1
NicolasDelaunay1739,Nicolas,Delaunay,1739,1792,1
Jean-JacuesLe Veau1729,Jean-Jacues,Le Veau,1729,1786,1
Francois AugusteMoitte1748,Francois Auguste,Moitte,1748,1790,1
NoëlLemire1727,Noël,Lemire,1727,1800,4
Charles PierreNormand1765,Charles Pierre,Normand,1765,1840,1
JeanMathieu1749,Jean,Mathieu,1749,1815,1
DanielLerpiniere1745,Daniel,Lerpiniere,1745,1785,1
AntoineTrouvain1656,Antoine,Trouvain,1656,1708,2
CornelisVermeulen1732,Cornelis,Vermeulen,1732,1813,1
AlexisLoir1640,Alexis,Loir,1640,1713,2
AdrienManglard1695,Adrien,Manglard,1695,1760,1
Nicolas Charles deSilvestre1669,Nicolas Charles de,Silvestre,1669,1776,2
Jean Louis CharlesPauquet1759,Jean Louis Charles,Pauquet,1759,1824,1
Simon Francois IRavenet1706,Simon Francois I,Ravenet,1706,1774,1
Charles NicolasVarin1745,Charles Nicolas,Varin,1745,1805,1
Jean BaptistePoilly1669,Jean Baptiste,Poilly,1669,1728,1
Carl MarcusTuscher1705,Carl Marcus,Tuscher,1705,1751,2
Victor MariePicot1744,Victor Marie,Picot,1744,1805,2
JaquesCourtois1621,Jaques,Courtois,1621,1676,6
Peter CarlCanot1710,Peter Carl,Canot,1710,1777,2
Pierre CharlesBaquoy1759,Pierre Charles,Baquoy,1759,1829,2
SébastienBourdon1616,Sébastien,Bourdon,1616,1671,6
NiclasChapron1612,Niclas,Chapron,1612,1652,1
Felix-HilaireBuhot1847,Felix-Hilaire,Buhot,1847,1898,4
Antoine Charles H.Vernet1758,Antoine Charles H.,Vernet,1758,1836,1
GiovanniVitalba1738,Giovanni,Vitalba,1738,1792,3
Alexandre-HDunouy1757,Alexandre-H,Dunouy,1757,1841,2
Charles Fr.Eustache1820,Charles Fr.,Eustache,1820,1870,1
GilleDemarteau1722,Gille,Demarteau,1722,1776,3
Gustave MarieGreux1838,Gustave Marie,Greux,1838,1919,1
ClaudeGillot1673,Claude,Gillot,1673,1722,24
ClaudeLorrain1600,Claude,Lorrain,1600,1682,5
Laurent de laHyre1606,Laurent de la,Hyre,1606,1656,1
Jean-BaptisteLe Prince1734,Jean-Baptiste,Le Prince,1734,1781,7
Noël Jules leMire1814,Noël Jules le,Mire,1814,1878,1
PaulHuet1803,Paul,Huet,1803,1869,1
Célesté FrancoisNanteuil1813,Célesté Francois,Nanteuil,1813,1873,2
Jean-PierreNorblin de la Gourdaine1745,Jean-Pierre,Norblin de la Gourdaine,1745,1830,1
SébastienLeclerc (II)1676,Sébastien,Leclerc (II),1676,1763,45
ValentinLefevre1642,Valentin,Lefevre,1642,1682,1
FrancoisTortebat1621,Francois,Tortebat,1621,1690,6
PierreScalberge1592,Pierre,Scalberge,1592,1640,1
Jean-BaptisteOudry1686,Jean-Baptiste,Oudry,1686,1755,3
HubertRobert1733,Hubert,Robert,1733,1808,11
Jules JaquesVeyrassat1828,Jules Jaques,Veyrassat,1828,1893,1
GabrielPérelle1603,Gabriel,Pérelle,1603,1677,21
Jaques deRousseau1600,Jaques de,Rousseau,1600,1638,1
ThéodoreValerio1819,Théodore,Valerio,1819,1879,1
JeanRigaud1912,Jean,Rigaud,1912,1999,1
AbrahamBosse1602,Abraham,Bosse,1602,1676,1
Georg WilhelmBauernfeind1728,Georg Wilhelm,Bauernfeind,1728,1763,4
BernardBaron1696,Bernard,Baron,1696,1762,1
NicolasDorigny1652,Nicolas,Dorigny,1652,1746,2
AagotSchøyen1890,Aagot,Schøyen,1890,1928,4
Jean JaquesFlipart1723,Jean Jaques,Flipart,1723,1782,2
Johann FriedrichLeybolt1755,Johann Friedrich,Leybolt,1755,1838,3
Jean-BaptisteCorneille1649,Jean-Baptiste,Corneille,1649,1695,1
GillesRousselet1610,Gilles,Rousselet,1610,1686,2
NicolaasLoyer1625,Nicolaas,Loyer,1625,1681,1
PhilippeThomassin1562,Philippe,Thomassin,1562,1622,10
NicolasLesueur1716,Nicolas,Lesueur,1716,1783,1
Claude FranciosFortier1755,Claude Francios,Fortier,1755,1835,1
A.Riffaut1821,A.,Riffaut,1821,1859,1
EdwardSchuler1806,Edward,Schuler,1806,1882,2
Robert IIDaudet1737,Robert II,Daudet,1737,1824,1
JanPunt1711,Jan,Punt,1711,1779,4
Jean-NicolasLaugier1785,Jean-Nicolas,Laugier,1785,1875,1
WilliamAustin1833,William,Austin,1833,1899,1
RichardHouston1721,Richard,Houston,1721,1775,2
Johan SebastianMüller1715,Johan Sebastian,Müller,1715,1785,1
JohnLandseer1763,John,Landseer,1763,1852,1
William WynneRyland1732,William Wynne,Ryland,1732,1783,1
JosephGoupy1689,Joseph,Goupy,1689,1763,2
John BabtistJackson1701,John Babtist,Jackson,1701,1780,2
Johann ThomasHauer1748,Johann Thomas,Hauer,1748,1820,2
EdvardRooker1712,Edvard,Rooker,1712,1774,2
JamesPeake1730,James,Peake,1730,1782,1
SamuelMiddiman1746,Samuel,Middiman,1746,1818,4
JeanThouvenin1765,Jean,Thouvenin,1765,1828,2
Edward WilliamCooke1811,Edward William,Cooke,1811,1880,50
James Abott McNeilWhistler1834,James Abott McNeil,Whistler,1834,1903,7
ThomasWorlidge1700,Thomas,Worlidge,1700,1766,1
HerbertRailton1857,Herbert,Railton,1857,1910,1
AndreasMassinger1759,Andreas,Massinger,1759,1808,1
EdmeBovinet1767,Edme,Bovinet,1767,1832,1
JuliusKomjáti1894,Julius,Komjáti,1894,1958,1
ErnöBarta1878,Ernö,Barta,1878,1956,10
Jacques-ÉmileBlanche1861,Jacques-Émile,Blanche,1861,1942,2
Charles FrançoisHutin1715,Charles François,Hutin,1715,1776,8
Nicolaj KonstantinovRoerich1874,Nicolaj Konstantinov,Roerich,1874,1947,1
FrankBangwyn1867,Frank,Bangwyn,1867,1956,1
ConradGessner1761,Conrad,Gessner,1761,1826,12
Gerrit LendertszValck1626,Gerrit Lendertsz,Valck,1626,1694,3
AdamWillaertz1577,Adam,Willaertz,1577,1662,1
LouisMarvy1815,Louis,Marvy,1815,1850,1
ChristianFriedrich1770,Christian,Friedrich,1770,1843,4
Georg DanielHeumann1691,Georg Daniel,Heumann,1691,1759,1
AngeloQuaglio1778,Angelo,Quaglio,1778,1813,1
Karl FrederikBendorp1736,Karl Frederik,Bendorp,1736,1844,1
HeinrichGuttenberg1749,Heinrich,Guttenberg,1749,1818,4
RobertBonnart1652,Robert,Bonnart,1652,1729,1
AntonMauve1838,Anton,Mauve,1838,1888,1
SalomonSavery1594,Salomon,Savery,1594,1664,8
ThéoduleRibot1823,Théodule,Ribot,1823,1891,1
Joachim FerdinandRichardt1819,Joachim Ferdinand,Richardt,1819,1895,1
MichaelAncher1849,Michael,Ancher,1849,1927,3
Otto PetersenBalle1865,Otto Petersen,Balle,1865,1916,2
Georg W.Baurenfeind1728,Georg W.,Baurenfeind,1728,1763,1
Friderich Ludv.Bradt1747,Friderich Ludv.,Bradt,1747,1822,3
Johannes GottfredBradt1741,Johannes Gottfred,Bradt,1741,1770,3
HeinrichBuntzen1803,Heinrich,Buntzen,1803,1892,3
Peder SeverinKrøyer1851,Peder Severin,Krøyer,1851,1909,10
Max Peter JohanKleinsorg1866,Max Peter Johan,Kleinsorg,1866,1914,6
Johan AdolphKittendorff1820,Johan Adolph,Kittendorff,1820,1902,7
Erasmus ChristofferKarlebye1770,Erasmus Christoffer,Karlebye,1770,1812,1
Achton JohannesFriis1871,Achton Johannes,Friis,1871,1939,2
AxelSalto1889,Axel,Salto,1889,1961,13
NielsTruslew1762,Niels,Truslew,1762,1826,1
Johan PeterWildenradt1861,Johan Peter,Wildenradt,1861,1904,2
Adolph AlfredLarsen1856,Adolph Alfred,Larsen,1856,1942,7
Jens Vilhelm FerdinandLarsen1830,Jens Vilhelm Ferdinand,Larsen,1830,1892,3
Carl Ludvig (Thilson)Locher1851,Carl Ludvig (Thilson),Locher,1851,1911,14
Holger Valdemar RasmussenMagaard1864,Holger Valdemar Rasmussen,Magaard,1864,1937,1
Fr. Karl Krist. HansenReistrup1863,Fr. Karl Krist. Hansen,Reistrup,1863,1929,1
Albert HenrikRepholtz1863,Albert Henrik,Repholtz,1863,1928,2
JohanRohde1856,Johan,Rohde,1856,1935,4
Olaf Viggo PeterLanger1860,Olaf Viggo Peter,Langer,1860,1942,2
Hans Chr.Gether Caspersen1866,Hans Chr.,Gether Caspersen,1866,1939,2
Christian H.P.C.Bang1868,Christian H.P.C.,Bang,1868,1950,1
LuplauJansen1869,Luplau,Jansen,1869,1927,2
Hans AxelHou1860,Hans Axel,Hou,1860,1948,5
Hans JørgenHammer1815,Hans Jørgen,Hammer,1815,1882,1
Emmerik LucianHøegh-Guldberg1807,Emmerik Lucian,Høegh-Guldberg,1807,1881,2
Jens M.Holm1776,Jens M.,Holm,1776,1859,1
Hans Chr.Henneberg1826,Hans Chr.,Henneberg,1826,1893,1
F. C.Kjerschouv1808,F. C.,Kjerschouv,1808,1891,1
AxelHolm1861,Axel,Holm,1861,1935,1
Adam AMüller1811,Adam A,Müller,1811,1844,3
Lars Jørgen PeterLund1857,Lars Jørgen Peter,Lund,1857,1935,1
LouiseRavn-Hansen1849,Louise,Ravn-Hansen,1849,1909,5
EliasMeyer1763,Elias,Meyer,1763,1809,3
Jens PeterMøller1783,Jens Peter,Møller,1783,1854,3
Josepha MMartensen1852,Josepha M,Martensen,1852,1924,5
Johan ThomasLundebye1818,Johan Thomas,Lundebye,1818,1848,13
Knud ErikLarsen1865,Knud Erik,Larsen,1865,1922,1
EmanuelLarsen1823,Emanuel,Larsen,1823,1859,7
SophusStein1862,Sophus,Stein,1862,1941,5
PoulSteffensen1866,Poul,Steffensen,1866,1923,3
SimonSimonsen1841,Simon,Simonsen,1841,1928,1
Carl FrederikStanley1738,Carl Frederik,Stanley,1738,1813,1
Axel ThorsenSchovelin1828,Axel Thorsen,Schovelin,1828,1893,4
Johan HSenn1770,Johan H,Senn,1770,1830,19
Johan Ernst Ch.Walter1799,Johan Ernst Ch.,Walter,1799,1892,1
NielsHansen1880,Niels,Hansen,1880,1946,6
Jens PeterLund1821,Jens Peter,Lund,1821,1871,2
AlfredOlsen1854,Alfred,Olsen,1854,1932,1
NielsRinge1791,Niels,Ringe,1791,1854,2
Georg Rasmus FriedrichHoffmann1807,Georg Rasmus Friedrich,Hoffmann,1807,1876,8
(Solomon) GeskelSoloman1821,(Solomon) Geskel,Soloman,1821,1902,1
Jens FerdinandWillumsen1863,Jens Ferdinand,Willumsen,1863,1958,70
Lennart RafaelSegerstråle1892,Lennart Rafael,Segerstråle,1892,1975,4
HenryEricsson1889,Henry,Ericsson,1889,1933,2
prinsEugen1865,prins,Eugen,1865,1947,3
AlfredBergström1869,Alfred,Bergström,1869,1930,8
Ingeman WaldemarLindholm1872,Ingeman Waldemar,Lindholm,1872,1900,4
CarlSöderlund1860,Carl,Söderlund,1860,1905,5
Carl Hjalmar Valentin MMolin1868,Carl Hjalmar Valentin M,Molin,1868,1954,4
Erik August AllanÖsterlind1855,Erik August Allan,Österlind,1855,1938,1
Carl OlofPetersen1881,Carl Olof,Petersen,1881,1939,3
Eigil Wilhelm S.Schwab1882,Eigil Wilhelm S.,Schwab,1882,1952,2
HarrietSundström1872,Harriet,Sundström,1872,1961,1
Gabriel HenricBurmeister1886,Gabriel Henric,Burmeister,1886,1946,1
ErnstNorlind1877,Ernst,Norlind,1877,1952,1
Erns ViktorHällgren1889,Erns Viktor,Hällgren,1889,1944,1
TeklaNordström1856,Tekla,Nordström,1856,1937,2
Johan E.Cardon1802,Johan E.,Cardon,1802,1878,3
EmilÅberg1864,Emil,Åberg,1864,1940,1
PehrHörberg1746,Pehr,Hörberg,1746,1816,41
John AxelFridell1894,John Axel,Fridell,1894,1935,2
PärSiegård1877,Pär,Siegård,1877,1961,1
Johan GustavRuckman1780,Johan Gustav,Ruckman,1780,1862,1
GöstaSandels1887,Gösta,Sandels,1887,1919,3
HaraldSallberg1895,Harald,Sallberg,1895,1963,3
Per GustavFloding1731,Per Gustav,Floding,1731,1791,1
Carl FredrikAkrel1779,Carl Fredrik,Akrel,1779,1868,2
Carl OscarCardon1812,Carl Oscar,Cardon,1812,1899,1
Erik Fredrik A.Hedman1883,Erik Fredrik A.,Hedman,1883,1959,2
Johan HenricStrømer1807,Johan Henric,Strømer,1807,1904,1
Amandeus WenzelBöhm1769,Amandeus Wenzel,Böhm,1769,1823,2
Chr. vonMechel1737,Chr. von,Mechel,1737,1817,2
J. B. (Adolphe)Appian1818,J. B. (Adolphe),Appian,1818,1898,1
PaulGauguin1848,Paul,Gauguin,1848,1903,22
CamillePissarro1830,Camille,Pissarro,1830,1903,4
AugusteRenoir1841,Auguste,Renoir,1841,1919,8
PaulCézanne1839,Paul,Cézanne,1839,1906,6
HenriFantin-Latour1836,Henri,Fantin-Latour,1836,1904,4
AlphonseLegros1837,Alphonse,Legros,1837,1911,2
AlexandreLunois1863,Alexandre,Lunois,1863,1916,3
GustaveLeheutre1861,Gustave,Leheutre,1861,1932,4
ManuelRobbe1872,Manuel,Robbe,1872,1936,2
GeorgesAuriol1863,Georges,Auriol,1863,1938,3
AlbertBesnard1849,Albert,Besnard,1849,1934,1
PierreBonnard1867,Pierre,Bonnard,1867,1947,21
MauriceDenis1870,Maurice,Denis,1870,1943,2
ArmandGuillaumin1841,Armand,Guillaumin,1841,1927,4
René GeorgesHermann-Paul1864,René Georges,Hermann-Paul,1864,1940,1
CharlesMaurin1856,Charles,Maurin,1856,1914,3
OdilonRedon1840,Odilon,Redon,1840,1916,9
JozsefRippl-R¢na¿1861,Jozsef,Rippl-R¢na¿,1861,1927,1
JanToorop1858,Jan,Toorop,1858,1928,1
Théodore vanRysselberghe1862,Théodore van,Rysselberghe,1862,1926,1
SuzanneValadon1865,Suzanne,Valadon,1865,1938,1
FélixVallotton1865,Félix,Vallotton,1865,1925,10
ÉdouardVuillard1868,Édouard,Vuillard,1868,1940,5
EdmondAman-Jean1858,Edmond,Aman-Jean,1858,1936,1
CharlesCottet1863,Charles,Cottet,1863,1924,2
Henri-EdmondCross1856,Henri-Edmond,Cross,1856,1910,1
Georges deFeure1868,Georges de,Feure,1868,1943,1
Eugène-SamuelGrasset1841,Eugène-Samuel,Grasset,1841,1917,1
RaphaëlLewisohn1863,Raphaël,Lewisohn,1863,1923,1
HenriMartin1860,Henri,Martin,1860,1943,1
LucienPissarro1863,Lucien,Pissarro,1863,1944,1
PierrePuvis de Chavannes1824,Pierre,Puvis de Chavannes,1824,1898,3
AugusteRodin1840,Auguste,Rodin,1840,1917,9
Ker XavierRoussel1867,Ker Xavier,Roussel,1867,1944,1
LucienSimon1861,Lucien,Simon,1861,1945,2
AlfredSisley1839,Alfred,Sisley,1839,1899,1
HonoréDaumier1808,Honoré,Daumier,1808,1879,87
EugèneDelacroix1798,Eugène,Delacroix,1798,1863,27
PabloPicasso1881,Pablo,Picasso,1881,1973,510
AlbertMarquet1875,Albert,Marquet,1875,1947,3
WolfgangKilian1654,Wolfgang,Kilian,1654,1732,1
W. C. vanBaarsel1790,W. C. van,Baarsel,1790,1854,1
Chr.Froschoveri1529,Chr.,Froschoveri,1529,1556,1
Chr. Fr.Boetius1706,Chr. Fr.,Boetius,1706,1778,1
I.G.Boettger1763,I.G.,Boettger,1763,1825,2
Gustav G.Endner1754,Gustav G.,Endner,1754,1824,4
Nicolas vanFranckendaal1733,Nicolas van,Franckendaal,1733,1748,1
SigmondFreudenberger1745,Sigmond,Freudenberger,1745,1801,1
Christian FriedrichFritzsch1719,Christian Friedrich,Fritzsch,1719,1772,6
MichaelKeyl1722,Michael,Keyl,1722,1795,1
SalomonKleiner1703,Salomon,Kleiner,1703,1759,1
Johann ConradKrüger1733,Johann Conrad,Krüger,1733,1791,1
Ephraim GottliebKrüger1756,Ephraim Gottlieb,Krüger,1756,1834,3
Adam WolfgangKueffner1760,Adam Wolfgang,Kueffner,1760,1817,1
SamuelKupfer1712,Samuel,Kupfer,1712,1786,1
Johann GeorgMansfeld1763,Johann Georg,Mansfeld,1763,1817,2
Joh. GeorgMenzel1675,Joh. Georg,Menzel,1675,1730,2
Joh. MichaelMettenleitner1765,Joh. Michael,Mettenleitner,1765,1822,6
ArmandReinhardt1800,Armand,Reinhardt,1800,1900,6
prinsRupert1619,prins,Rupert,1619,0168,1
G?Röst1700,G?,Röst,1700,1800,2
FranzStöber1795,Franz,Stöber,1795,1858,1
Johann ChristophSysang1703,Johann Christoph,Sysang,1703,1754,3
MedardThoenert1754,Medard,Thoenert,1754,1812,15
Jacob SamuelWalwerth1750,Jacob Samuel,Walwerth,1750,1815,1
CarlWagner1795,Carl,Wagner,1795,1867,2
J. CasparWeinrauch1765,J. Caspar,Weinrauch,1765,0183,1
Joh. ChristophWinkler1701,Joh. Christoph,Winkler,1701,1770,1
Johann GottfriedZschoch1775,Johann Gottfried,Zschoch,1775,1840,1
LeopoldBeyer1784,Leopold,Beyer,1784,1870,4
Johann HeinrichRamberg1763,Johann Heinrich,Ramberg,1763,1840,5
Moritz EdwinKlug1802,Moritz Edwin,Klug,1802,2018,2
Johann NepomukPassini1798,Johann Nepomuk,Passini,1798,1874,2
FerdinandOlivier1873,Ferdinand,Olivier,1873,1957,1
Jacob PhilippHackert1737,Jacob Philipp,Hackert,1737,1807,6
Christian GottlobHammer1779,Christian Gottlob,Hammer,1779,1864,1
FerdinandLanderere1745,Ferdinand,Landerere,1745,1796,1
FrancescoPiranesi1758,Francesco,Piranesi,1758,1810,3
AntoineCardon1772,Antoine,Cardon,1772,1813,2
FerdinandSchmutzer1870,Ferdinand,Schmutzer,1870,1928,3
MaxSvabinsky1873,Max,Svabinsky,1873,1962,2
AronGerle1860,Aron,Gerle,1860,1930,1
JosephKeller1811,Joseph,Keller,1811,1873,3
Friedrich EduardEichens1804,Friedrich Eduard,Eichens,1804,1877,1
WilliamHecht1843,William,Hecht,1843,1920,2
Johann LeonardRaab1825,Johann Leonard,Raab,1825,1899,1
GustavEilers1834,Gustav,Eilers,1834,1911,2
Johann FriedrichVogel1829,Johann Friedrich,Vogel,1829,1895,1
Moritz Fr. A.Steinla1791,Moritz Fr. A.,Steinla,1791,1857,5
Achille LouisMartinet1806,Achille Louis,Martinet,1806,1877,1
EduardMandel1810,Eduard,Mandel,1810,1882,1
Gustav AdolphClemens1870,Gustav Adolph,Clemens,1870,1918,1
HarunobuGakutei1786,Harunobu,Gakutei,1786,1868,7
SuzukiHarunobu1725,Suzuki,Harunobu,1725,1770,2
UtagawaHiroshige1797,Utagawa,Hiroshige,1797,1858,70
SakaiHôitsu1761,Sakai,Hôitsu,1761,1828,1
TotoyaHokkei1780,Totoya,Hokkei,1780,1850,19
KuboShunman1757,Kubo,Shunman,1757,1820,6
KatsushikaHokusai1760,Katsushika,Hokusai,1760,1849,5
ShunbaisaiHokuei1824,Shunbaisai,Hokuei,1824,1837,8
TachibanaMorikuni1679,Tachibana,Morikuni,1679,1748,4
EisenKeisai1792,Eisen,Keisai,1792,1848,5
KitaoMasayoshi1764,Kitao,Masayoshi,1764,1824,4
ToriiKiyomasu II1706,Torii,Kiyomasu II,1706,1763,1
ToriiKiyomitsu1735,Torii,Kiyomitsu,1735,1785,1
ToriiKiyonaga1752,Torii,Kiyonaga,1752,1815,1
ToriiKiyonobu I1664,Torii,Kiyonobu I,1664,1729,1
IsodaKoryûsai1735,Isoda,Koryûsai,1735,1790,2
UtagawaKuninao1795,Utagawa,Kuninao,1795,1854,1
UtagawaKunisada I1786,Utagawa,Kunisada I,1786,1864,175
UtagawaKuniyoshi1797,Utagawa,Kuniyoshi,1797,1861,53
KitaoMasanobu1761,Kitao,Masanobu,1761,1816,3
OkumuraMasanobu1686,Okumura,Masanobu,1686,1764,1
UtagawaSadahide1807,Utagawa,Sadahide,1807,1873,7
RyûsaiShigeharu1803,Ryûsai,Shigeharu,1803,1853,2
RyûryûkyôShinsai1764,Ryûryûkyô,Shinsai,1764,1820,1
KatsukawaShunkô1743,Katsukawa,Shunkô,1743,1812,1
SuzukiKiitsu1796,Suzuki,Kiitsu,1796,1858,1
KatsukawaShunshô1726,Katsukawa,Shunshô,1726,1792,3
KitaoShigemasa1739,Kitao,Shigemasa,1739,1820,1
KatsukawaShuntei1770,Katsukawa,Shuntei,1770,1824,2
NishikawaSukenobu1671,Nishikawa,Sukenobu,1671,1750,2
TeisaiHokuba1771,Teisai,Hokuba,1771,1844,1
UtagawaToyohiro1773,Utagawa,Toyohiro,1773,1828,1
UtagawaToyokuni I1769,Utagawa,Toyokuni I,1769,1825,17
KitagawaUtamaro1753,Kitagawa,Utamaro,1753,1806,3
KikugawaEizan1787,Kikugawa,Eizan,1787,1867,3
IchiyôteiYoshitaki1841,Ichiyôtei,Yoshitaki,1841,1899,1
ChobunsaiEishi1756,Chobunsai,Eishi,1756,1827,1
ChôkôsaiEishô1793,Chôkôsai,Eishô,1793,1800,1
UtagawaKunisada II1823,Utagawa,Kunisada II,1823,1880,15
ÔokaShunboku1680,Ôoka,Shunboku,1680,1763,2
UtagawaHiroshige II1826,Utagawa,Hiroshige II,1826,1869,1
OgataGekkô1859,Ogata,Gekkô,1859,1920,1
SekkaKamisaka1866,Sekka,Kamisaka,1866,1942,1
SeverinGrande1869,Severin,Grande,1869,1934,8
GeorgLührig1868,Georg,Lührig,1868,1957,2
KätheKollwitz1867,Käthe,Kollwitz,1867,1945,11
EmilieMediz-Pelïkan1861,Emilie,Mediz-Pelïkan,1861,1908,1
KarlMediz1868,Karl,Mediz,1868,1944,1
GeorgMüller-Breslau1856,Georg,Müller-Breslau,1856,1911,1
Max EduardGiese1867,Max Eduard,Giese,1867,1916,1
JonasHaas1720,Jonas,Haas,1720,1775,1
Friedrich WilhelmBollinger1777,Friedrich Wilhelm,Bollinger,1777,1825,1
FriedrichRandel1808,Friedrich,Randel,1808,1886,8
EinarBerger1890,Einar,Berger,1890,1961,14
Jean-Baptiste MarieHuet1745,Jean-Baptiste Marie,Huet,1745,1811,3
Lois-LeopoldBoilly1786,Lois-Leopold,Boilly,1786,1854,2
NicolasCharlet1792,Nicolas,Charlet,1792,1845,1
JacquesBertaux1745,Jacques,Bertaux,1745,1818,1
Eugenius Frans deBlock1812,Eugenius Frans de,Block,1812,1893,1
FrancoisBoucher1703,Francois,Boucher,1703,1770,14
Francois GustaveBuschman1818,Francois Gustave,Buschman,1818,1852,1
CharlesDufresne1876,Charles,Dufresne,1876,1938,1
Charles Dom. JosephEisen1720,Charles Dom. Joseph,Eisen,1720,1778,3
LouisGallait1810,Louis,Gallait,1810,1887,1
Cornelius Johannes AdrianusSeghers1814,Cornelius Johannes Adrianus,Seghers,1814,0187,1
AlbinEgger-Lienz1868,Albin,Egger-Lienz,1868,1926,1
JulienCélos1884,Julien,Célos,1884,1953,1
