KunstnerNøkkel,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,Antall verk
WilhelmMarstrand1810,Wilhelm,Marstrand,1810,1873,31
JensJuel1745,Jens,Juel,1745,1802,30
GaudenzioFerrari1484,Gaudenzio,Ferrari,1484,1549,4
JacobJordaens1593,Jacob,Jordaens,1593,1678,9
Hans Ditlev FrantsLinstow1787,Hans Ditlev Frants,Linstow,1787,1851,15
GustavFinnberg1784,Gustav,Finnberg,1784,1833,16
CarlEbert1821,Carl,Ebert,1821,1885,3
AntonioTempesta1555,Antonio,Tempesta,1555,1630,7
Giovanni BattistaPittoni1687,Giovanni Battista,Pittoni,1687,1767,3
Marten vanHeemskerck1498,Marten van,Heemskerck,1498,1574,9
BaccioBandinelli1493,Baccio,Bandinelli,1493,1560,13
Caspar Johann NepomukScheuren1810,Caspar Johann Nepomuk,Scheuren,1810,1887,8
AdrianZingg1734,Adrian,Zingg,1734,1816,10
FerdinandKobell1740,Ferdinand,Kobell,1740,1799,72
JanLuyken1649,Jan,Luyken,1649,1712,12
MeindertHobbema1638,Meindert,Hobbema,1638,1709,1
Christian AugustLorentzen1746,Christian August,Lorentzen,1746,1828,9
GiovanniBiliverti1576,Giovanni,Biliverti,1576,1666,4
FrancescoBrizzi1574,Francesco,Brizzi,1574,1625,2
AndreasSchelfhout1787,Andreas,Schelfhout,1787,1870,1
BjørnSmith-Hald1883,Bjørn,Smith-Hald,1883,1964,2
Jacob d'Agar1642,Jacob d',Agar,1642,1715,2
JacobMunch1776,Jacob,Munch,1776,1839,17
AndreasBloch1860,Andreas,Bloch,1860,1917,54
NilsBergslien1853,Nils,Bergslien,1853,1928,4
KnudBergslien1827,Knud,Bergslien,1827,1908,12
CarloMaratti1625,Carlo,Maratti,1625,1713,12
NikolaiUlfsten1854,Nikolai,Ulfsten,1854,1885,137
AugustSchneider1842,August,Schneider,1842,1873,359
ZachariasDolendo1561,Zacharias,Dolendo,1561,1604,8
Lucas vanLeyden1494,Lucas van,Leyden,1494,1533,33
AntonWierx1552,Anton,Wierx,1552,1624,4
Jan BaptistCollaert1585,Jan Baptist,Collaert,1585,1620,1
HieronymusWierix1553,Hieronymus,Wierix,1553,1619,18
Johannes ISadeler1550,Johannes I,Sadeler,1550,1600,24
HansBol1534,Hans,Bol,1534,1593,3
Raphael ISadeler1560,Raphael I,Sadeler,1560,1628,6
HieronymusCock1510,Hieronymus,Cock,1510,1570,2
CornelisCort1533,Cornelis,Cort,1533,1578,18
Dirk VolkertszCoornhert1519,Dirk Volkertsz,Coornhert,1519,1590,4
Jan van deVelde (II)1593,Jan van de,Velde (II),1593,1641,24
Cornelis ISchut1597,Cornelis I,Schut,1597,1655,4
Willem vanSwanenburg1581,Willem van,Swanenburg,1581,1612,5
Boetius AdamsBolswert1580,Boetius Adams,Bolswert,1580,1633,9
Marcus IIGerards1561,Marcus II,Gerards,1561,1635,8
JanSaenredam1565,Jan,Saenredam,1565,1607,28
Hendrik IIHondius1597,Hendrik II,Hondius,1597,1644,3
Herman J.Muller1540,Herman J.,Muller,1540,1617,1
PieterBast1570,Pieter,Bast,1570,1605,2
Regnier NoomsZeeman1623,Regnier Nooms,Zeeman,1623,1668,49
NicolaesBerchem1620,Nicolaes,Berchem,1620,1683,58
FrancescoZuccarelli1702,Francesco,Zuccarelli,1702,1788,3
Giovanni BattistaGalestruzzi1618,Giovanni Battista,Galestruzzi,1618,1661,28
SalvatorRosa1615,Salvator,Rosa,1615,1673,47
Jean Jacques deBoissieu1736,Jean Jacques de,Boissieu,1736,1810,7
CornelisDusart1660,Cornelis,Dusart,1660,1704,11
Johann GeorgWille1715,Johann Georg,Wille,1715,1808,41
GeorgPencz1500,Georg,Pencz,1500,1550,27
WenzelHollar1607,Wenzel,Hollar,1607,1677,28
Stefano dellaBella1610,Stefano della,Bella,1610,1664,56
AlbrechtDürer1471,Albrecht,Dürer,1471,1528,119
Anton vanDyck1599,Anton van,Dyck,1599,1641,40
JanLievens1607,Jan,Lievens,1607,1674,5
Allart vanEverdingen1621,Allart van,Everdingen,1621,1675,122
Jan van denHecke1620,Jan van den,Hecke,1620,1684,12
DirkStoop1610,Dirk,Stoop,1610,1681,27
Adriaen vanOstade1610,Adriaen van,Ostade,1610,1685,83
Theodorus vanKessel1620,Theodorus van,Kessel,1620,1693,6
Moses vanUytenbroeck1590,Moses van,Uytenbroeck,1590,1648,1
Cornelis PieterszBega1620,Cornelis Pietersz,Bega,1620,1664,27
PeterBoel1622,Peter,Boel,1622,1674,1
ClaudeMellan1598,Claude,Mellan,1598,1688,26
JohanWierix1549,Johan,Wierix,1549,1615,2
Giovanni BenedettoCastiglione1616,Giovanni Benedetto,Castiglione,1616,1670,19
Jan vanHuchtenburg1646,Jan van,Huchtenburg,1646,1733,9
Pieter GerardusOs1776,Pieter Gerardus,Os,1776,1839,14
MarcantonioRaimondi1480,Marcantonio,Raimondi,1480,1534,21
AgostinoMusi1490,Agostino,Musi,1490,1540,1
AdamGhisi1530,Adam,Ghisi,1530,1587,3
Enea VicusVico1523,Enea Vicus,Vico,1523,1567,2
AgostinoCarracci1557,Agostino,Carracci,1557,1602,18
SimoneCantarini1612,Simone,Cantarini,1612,1648,5
AnnibaleCarracci1560,Annibale,Carracci,1560,1609,13
Ugo daCarpi1480,Ugo da,Carpi,1480,1525,4
AnthonieWaterloo1610,Anthonie,Waterloo,1610,1676,179
KarelDujardin1622,Karel,Dujardin,1622,1678,92
Jan DirkszBoth1610,Jan Dirksz,Both,1610,1652,33
Jan vanOssenbeck1624,Jan van,Ossenbeck,1624,1674,9
LudolfBackhuysen1631,Ludolf,Backhuysen,1631,1708,9
Jacob vanRuisdael1628,Jacob van,Ruisdael,1628,1682,8
Adriaen van deVelde1636,Adriaen van de,Velde,1636,1672,22
Herman vanSwanevelt1600,Herman van,Swanevelt,1600,1655,55
CornelisVisscher I1520,Cornelis,Visscher I,1520,1586,2
RobertNanteuil1623,Robert,Nanteuil,1623,1678,19
HendrikKobell1751,Hendrik,Kobell,1751,1779,3
SimonFrisius1580,Simon,Frisius,1580,1629,7
HendrikGoudt1585,Hendrik,Goudt,1585,1630,4
Georg FriedrichSchmidt1712,Georg Friedrich,Schmidt,1712,1775,19
GérardEdelinck1640,Gérard,Edelinck,1640,1707,9
Schelte AdamsBolswert1586,Schelte Adams,Bolswert,1586,1659,30
Pieter vanLaer1599,Pieter van,Laer,1599,1642,24
Christian BernhardRode1725,Christian Bernhard,Rode,1725,1797,19
CornelisGalle1576,Cornelis,Galle,1576,1650,8
PaulusPontius1603,Paulus,Pontius,1603,1638,16
NicolausLauwers1600,Nicolaus,Lauwers,1600,1652,4
AntoineMasson1636,Antoine,Masson,1636,1700,2
JonasSuyderhoff1613,Jonas,Suyderhoff,1613,1686,13
JanFyt1611,Jan,Fyt,1611,1661,7
GaspardDuchange1662,Gaspard,Duchange,1662,1757,3
Jacques deGheyn II1565,Jacques de,Gheyn II,1565,1629,43
PhilipGalle1537,Philip,Galle,1537,1612,6
CharlesHeath1785,Charles,Heath,1785,1848,1
AbrahamBlooteling1631,Abraham,Blooteling,1631,1690,5
JacobMatham1571,Jacob,Matham,1571,1631,23
CornelisVisscher II1618,Cornelis,Visscher II,1618,1658,43
MichelDorigny1617,Michel,Dorigny,1617,1665,24
PietroFontana1787,Pietro,Fontana,1787,1858,2
Johann DanielHertz1693,Johann Daniel,Hertz,1693,1754,5
Jakob MathiasSchmutzer1733,Jakob Mathias,Schmutzer,1733,1811,15
JeremiasWachsmuth1712,Jeremias,Wachsmuth,1712,1779,7
