id,artistId,produced,acquired,kind
MS-00223-1988,156,1988,1988,Maleri
MS-00224-1988,169,1986,1988,Maleri
MS-00225-1988,130,1964,1988,Maleri
MS-00226-1988,170,1984,1988,Pastell
MS-00227-1988,30,1981,1988,Tegning
MS-00229-1988,171,1984,1988,Grafikk
MS-00230-1988,54,1979,1988,Tegning
MS-00231-1988,6,1973,1988,Grafikk
MS-00232-1988,99,1988,1988,Tegning
MS-00233-1988,99,1988,1988,Tegning
MS-00234-1988,172,1978,1988,Tegning
MS-00235-1988,173,1983,1988,Grafikk
MS-00236-1988,115,1981,1988,Grafikk
MS-00237-1988,174,1980,1988,Grafikk
MS-00238-1988,175,1984,1988,Grafikk
MS-00239-1988,94,1982,1988,Grafikk
MS-00240-1988,44,1979,1988,Grafikk
MS-00241-1988,176,1985,1988,Tegning
MS-00242-1988,85,1981,1988,Tegning
MS-00243-1988,177,1984,1988,Grafikk
MS-00244-1988,178,1981,1988,Grafikk
MS-00245-1988,179,1978,1988,Grafikk
MS-00246-1988,180,1986,1988,Tegning
MS-00247-1988,139,1983,1988,Maleri
MS-00248-1988,181,1981,1988,Grafikk
MS-00249-1988,42,1964,1988,Grafikk
MS-00250-1988,125,1968,1988,Grafikk
MS-00251-1988,132,1986,1988,Maleri
MS-00252-1988,43,1982,1988,Tegning
MS-00253-1988,182,1982,1988,Tegning
MS-00254-1988,81,1985,1988,Grafikk
MS-00255-1988,183,1984,1988,Tegning
MS-00256-1988,184,1981,1988,Grafikk
MS-00257-1988,185,1980,1988,Grafikk
MS-00258-1988,186,1983,1988,Maleri
MS-00259-1988,105,1987,1988,Maleri
MS-00260-1988,187,1988,1988,Skulptur
MS-00261-1988,188,1974,1988,Skulptur
MS-00262-1988,189,1971,1988,Skulptur
MS-00263-1988,190,1970,1988,Skulptur
MS-00264-1988,191,1956,1988,Skulptur
MS-00265-1988,192,1975,1988,Skulptur
MS-00266-1988,193,1976,1988,Maleri
MS-00267-1988,72,1984,1988,Tegning
MS-00268-1988,194,1982,1988,Skulptur
MS-00269-1988,195,1971,1988,Skulptur
MS-00270-1988,196,1981,1988,Skulptur
MS-00271-1988,197,1977,1988,Skulptur
MS-00272-1988,198,1981,1988,Skulptur
MS-00273-1988,154,1987,1988,Maleri
MS-00274-1988,199,1965,1988,Maleri
MS-00275-1988,200,1982,1988,Materialbilde
MS-00276-1988,64,1986,1988,Maleri
MS-00277-1988,201,1986,1988,Maleri
MS-00278-1988,76,1983,1988,Maleri
MS-00279-1988,79,1987,1988,Maleri
MS-00280-1988,30,1986,1988,Maleri
MS-00281-1988,202,1982,1989,Maleri
MS-00282-1988,203,1985,1988,Maleri
MS-00283-1988,204,1988,1988,Maleri
MS-00284-1988,205,1988,1988,Maleri
MS-00285-1988,206,1981,1988,Maleri
MS-00286-1988,207,1986,1988,Maleri
MS-00287-1988,208,1988,1988,Maleri
MS-00288-1988,209,1981,1988,Maleri
MS-00289-1988,132,1984,1988,Maleri
MS-00290-1988,63,1981,1988,Maleri
MS-00291-1988,210,1984,1988,Maleri
MS-00292-1988,211,1985,1988,Maleri
MS-00293-1988,212,1985,1988,Maleri
MS-00294-1988,213,1985,1988,Maleri
MS-00295-1988,125,1987,1988,Maleri
MS-00296-1988,133,1987,1988,Maleri
MS-00297-1988,42,1982,1988,Maleri
MS-00298-1988,214,1984,1988,Maleri
MS-00299-1988,215,1982,1988,Grafikk
MS-00300-1988,209,1984,1988,Maleri
MS-00301-1988,216,1983,1988,Maleri
MS-00302-1988,141,1984,1988,Maleri
MS-00303-1988,15,1985,1988,Maleri
MS-00304-1988,217,1972,1988,Skulptur
MS-00305-1988,205,1988,1988,Skulptur
MS-00306-1988,218,1988,1988,Tegning
MS-00307-1988,54,1986,1988,Tegning
MS-00308-1988,219,1988,1988,Grafikk
MS-00309-1988,220,1985,1988,Grafikk
MS-00310-1988,209,1986,1988,Maleri
MS-00312-1988,43,1973,1988,Maleri
MS-00313-1988,141,1978,1988,Maleri
MS-00314-1988,133,1978,1988,Maleri
MS-00315-1988,173,1979,1988,Grafikk
MS-00316-1988,220,1985,1988,Grafikk
MS-00317-1988,221,1988,1988,Tegning
MS-00318-1988,222,1986,1988,Collage
MS-00319-1988,71,1984,1988,Maleri
MS-00320-1988,30,1985,1988,Maleri
MS-00321-1988,203,1979,1988,Tegning
MS-00321-1988VERSO,203,1988,1988,Tegning
MS-00322-1988,194,1986,1988,Tegning
MS-00323-1988,223,1986,1988,Maleri
MS-00324-1988,157,1973,1988,Grafikk
MS-00325-1988,224,1985,1988,Maleri
MS-00326-1988,225,1985,1988,Maleri
MS-00327-1988,73,1984,1988,Maleri
MS-00328-1988,226,1984,1988,Maleri
MS-00329-1988,227,1983,1988,Maleri
MS-00330-1988,228,1988,1988,Skulptur
MS-00331-1988,229,1968,1988,Maleri
MS-00332-1988,230,1977,1988,Maleri
MS-00333-1988,231,1969,1988,Maleri
MS-00334-1988,232,1977,1988,Maleri
MS-00335-1988,233,1971,1988,Maleri
MS-00336-1988,234,1971,1988,Maleri
MS-00337-1988,31,1961,1988,Maleri
MS-00338-1988,112,1969,1988,Maleri
MS-00339-1988,235,1976,1988,Maleri
MS-00340-1988,236,1968,1988,Maleri
MS-00341-1988,237,1959,1988,Maleri
MS-00342-1988,238,1952,1988,Maleri
MS-00343-1988,208,1968,1988,Maleri
MS-00344-1988,239,1977,1988,Maleri
MS-00345-1988,99,1968,1988,Maleri
MS-00346-1988,240,1953,1988,Grafikk
MS-00347-1988,200,1974,1988,Grafikk
MS-00348-1988,241,1955,1988,Grafikk
MS-00349-1988,242,1971,1988,Grafikk
MS-00350-1988,243,1976,1988,Grafikk
MS-00351-1988,244,1956,1988,Grafikk
MS-00352-1988,237,1958,1988,Grafikk
MS-00353-1988,245,1974,1988,Maleri
MS-00354-1988,246,1973,1988,Skulptur
MS-00355-1988,172,1973,1988,Skulptur
MS-00356-1988,247,1975,1988,Skulptur
MS-00357-1988,248,1954,1988,Skulptur
MS-00358-1988,249,1986,1988,Tegning
MS-00359-1988,250,1987,1988,Grafikk
MS-00360-1988,251,1988,1988,Skulptur
MS-00361-1988,252,1982,1988,Skulptur
MS-00362-1988,253,1986,1988,Maleri
MS-00363-1988,254,1980,1988,Skulptur
MS-00364-1988,197,1987,1988,Skulptur
MS-00365-1988,255,1983,1988,Skulptur
MS-00366-1988,66,1981,1988,Skulptur
MS-00367-1988,256,1982,1988,Skulptur
MS-00369-1988,257,1984,1988,Skulptur
MS-00370-1988,258,1987,1988,Skulptur
MS-00371-1988,258,1986,1988,Skulptur
MS-00372-1988,259,1967,1988,Materialbilde
MS-00373-1988,260,1988,1988,Skulptur
MS-00374-1988,261,1988,1988,Skulptur
MS-00375-1988,262,1988,1988,Skulptur
MS-00376-1988,263,1979,1988,Skulptur
MS-00377-1988,111,1986,1988,Maleri
MS-00378-1988,264,1972,1988,Skulptur
MS-00379-1988,190,1967,1988,Skulptur
MS-00380-1988,265,1986,1988,Skulptur
MS-00381-1988,266,1965,1988,Skulptur
MS-00382-1988,251,1982,1988,Skulptur
MS-00383-1988,267,1951,1988,Skulptur
MS-00384-1988,268,1972,1988,Skulptur
MS-00385-1988,269,1975,1988,Tegning
MS-00386-1988,196,1984,1988,Skulptur
MS-00387-1988,196,1984,1988,Skulptur
MS-00388-1988,270,1985,1988,Skulptur
MS-00389-1988,271,1977,1988,Skulptur
MS-00390-1988,267,1966,1988,Skulptur
MS-00391-1988,272,1983,1988,Skulptur
MS-00392-1988,273,1987,1988,Skulptur
MS-00393-1988,274,1985,1988,Skulptur
MS-00394-1988,275,1964,1976,Skulptur
MS-00395-1988,190,1980,1988,Skulptur
MS-00396-1988,261,1988,1988,Skulptur
MS-00397-1988,177,1985,1988,Skulptur
MS-00398-1988,198,1980,1988,Skulptur
MS-00399-1988,225,1986,1988,Materialbilde
MS-00400-1988,276,1986,1988,Maleri
MS-00401-1988,27,1984,1988,Tegning
MS-00402-1988,113,1983,1988,Maleri
MS-00403-1988,68,1984,1988,Maleri
MS-00404-1988,72,1982,1988,Grafikk
MS-00405-1988,31,1973,1988,Maleri
MS-00406-1988,247,1982,1988,Skulptur
MS-00407-1988,277,1979,1988,Skulptur
MS-00408-1988,187,1955,1988,Skulptur
MS-00409-1988,99,1988,1988,Tegning
MS-00410-1988,278,1985,1988,Maleri
MS-00411-1988,3,1988,1988,Maleri
MS-00412-1988,279,1981,1988,Skulptur
MS-00417-1988,42,1974,1988,Maleri
MS-00418-1988,143,1980,1988,Maleri
MS-00419-1988,280,1985,1988,Maleri
MS-00420-1988,281,1979,1988,Skulptur
MS-00421-1988,6,1988,1988,Maleri
MS-00422-1988,119,1978,1988,Maleri
MS-00423-1988,42,1976,1988,Maleri
MS-00424-1988,238,1973,1988,Maleri
MS-00425-1988,6,1970,1988,Maleri
MS-00426-1988,282,1988,1988,Skulptur
MS-00427-1988,283,1988,1988,Skulptur
MS-00428-1988,79,1982,1988,Skulptur
MS-00429-1988,218,1985,1988,Skulptur
MS-00430-1988,195,1988,1988,Skulptur
MS-00431-1988,264,1988,1988,Skulptur
MS-00432-1988,284,1984,1988,Skulptur
MS-00433-1988,264,1985,1988,Skulptur
MS-00434-1988,281,1986,1988,Maleri
MS-00435-1988,167,1975,1988,Assemblage
MS-00436-1988,167,1975,1988,Assemblage
MS-00437-1988,285,1977,1988,Tekstil
MS-00438-1988,286,1964,1988,Maleri
MS-00439-1988,145,1972,1988,Maleri
MS-00440-1988,287,1975,1988,Maleri
MS-00441-1988,209,1975,1988,Maleri
MS-00443-1988,288,1970,1988,Maleri
MS-00444-1988,73,1983,1988,Maleri
MS-00445-1988,193,1980,1988,Maleri
MS-00446-1988,289,1981,1988,Maleri
MS-00447-1988,98,1976,1988,Maleri
MS-00448-1988,30,1970,1988,Maleri
MS-00449-1988,2,1956,1988,Maleri
MS-00451-1988,208,1977,1988,Tegning
MS-00452-1988,61,1980,1988,Maleri
MS-00453-1988,144,1981,1988,Maleri
MS-00454-1988,290,1973,1988,Maleri
MS-00455-1988,291,1952,1988,Maleri
MS-00456-1988,292,1979,1988,Maleri
MS-00457-1988,165,1982,1988,Maleri
MS-00458-1988,157,1961,1988,Maleri
MS-00459-1988,30,1976,1988,Maleri
MS-00460-1988,293,1974,1988,Maleri
MS-00462-1988,294,1988,1988,Maleri
MS-00463-1988,295,1972,1988,Maleri
MS-00464-1988,114,1978,1988,Maleri
MS-00465-1988,296,1982,1988,Maleri
MS-00466-1988,98,1979,1988,Maleri
MS-00467-1988,297,1981,1988,Materialbilde
MS-00468-1988,215,1981,1988,Maleri
MS-00469-1988,113,1979,1988,Livre d´artiste
MS-00470-1988,295,1976,1988,Maleri
MS-00471-1988,298,1979,1988,Maleri
MS-00472-1988,117,1970,1988,Maleri
MS-00473-1988,135,1982,1988,Maleri
MS-00474-1988,119,1976,1988,Maleri
MS-00475-1988,132,1974,1988,Maleri
MS-00476-1988,196,1981,1988,Assemblage
MS-00477-1988,299,1979,1988,Maleri
MS-00478-1988,157,1966,1988,Maleri
MS-00479-1988,300,1977,1988,Maleri
MS-00480-1988,64,1982,1988,Maleri
MS-00481-1988,301,1977,1988,Maleri
MS-00482-1988,302,1969,1988,Maleri
MS-00483-1988,303,1988,1988,Maleri
MS-00484-1988,161,1970,1988,Maleri
MS-00485-1988,304,1979,1988,Maleri
MS-00486-1988,99,1975,1988,Maleri
MS-00487-1988,163,1981,1988,Maleri
MS-00488-1988,305,1988,1988,Maleri
MS-00489-1988,15,1970,1988,Maleri
MS-00490-1988,306,1982,1988,Assemblage
MS-00491-1988,307,1977,1988,Maleri
MS-00492-1988,308,1981,1988,Maleri
MS-00493-1988,309,1988,1988,Maleri
MS-00494-1988,106,1977,1988,Maleri
MS-00495-1988,310,1975,1988,Maleri
MS-00496-1988,311,1968,1988,Maleri
MS-00497-1988,312,1973,1988,Maleri
MS-00498-1988,119,1966,1988,Maleri
MS-00499-1988,71,1974,1988,Maleri
MS-00500-1988,44,1964,1988,Maleri
MS-00501-1988,206,1981,1988,Maleri
MS-00502-1988,313,1970,1988,Maleri
MS-00503-1988,34,1966,1988,Maleri
MS-00504-1988,119,1969,1988,Maleri
MS-00505-1988,102,1942,1988,Maleri
MS-00506-1988,314,1980,1988,Maleri
MS-00507-1988,209,1979,1988,Maleri
MS-00508-1988,231,1969,1988,Maleri
MS-00509-1988,114,1982,1988,Maleri
MS-00510-1988,315,1982,1988,Maleri
MS-00511-1988,315,1982,1988,Maleri
MS-00512-1988,316,1986,1988,Skulptur
MS-00513-1988,317,1980,1988,Maleri
MS-00514-1988,116,1983,1988,Gouache
MS-00515-1988,318,1985,1988,Maleri
MS-00516-1988,319,1988,1988,Tegning
MS-00517-1988,276,1982,1988,Materialbilde
MS-00518-1988,98,1984,1988,Maleri
MS-00519-1988,147,1985,1988,Maleri
MS-00520-1988,320,1983,1988,Maleri
MS-00521-1988,226,1985,1988,Maleri
MS-00522-1988,321,1980,1988,Skulptur
MS-00523-1988,44,1988,1988,Maleri
MS-00525-1988,322,1977,1988,Maleri
MS-00526-1988,323,1980,1988,Maleri
MS-00527-1988,324,1980,1988,Maleri
MS-00529-1988,280,1982,1988,Maleri
MS-00532-1988,325,1982,1988,Maleri
MS-00533-1988,6,1955,1988,Maleri
MS-00534-1988,326,1968,1988,Skulptur
MS-00535-1988,327,1988,1988,Skulptur
