id,artistId,produced,acquired,kind,imageCount
MS-00196-1988,140,1986,1988,Maleri,1
MS-00197-1988,155,1972,1988,Maleri,1
MS-00198-1988,156,1975,1981,Maleri,3
MS-00198-1988,156,1975,1988,Maleri,3
MS-00199-1988,157,1957,1988,Maleri,5
MS-00200-1988,158,1984,1988,Maleri,1
MS-00201-1988,159,1983,1988,Maleri,1
MS-00202-1988,139,1980,1988,Maleri,1
MS-00203-1988,160,1987,1988,Maleri,1
MS-00204-1988,155,1985,1988,Maleri,1
MS-00205-1988,155,1985,1988,Maleri,1
MS-00206-1988,81,1984,1988,Maleri,1
MS-00207-1988,161,1987,1988,Maleri,1
MS-00208-1988,147,1987,1988,Maleri,4
MS-00209-1988,162,1987,1987,Maleri,4
MS-00210-1988,163,1986,1988,Maleri,1
MS-00211-1988,164,1982,1988,Maleri,1
MS-00212-1988,149,1985,1988,Maleri,1
MS-00213-1988,165,1987,1988,Maleri,1
MS-00214-1988,6,1951,1988,Maleri,3
MS-00215-1988,76,1986,1988,Maleri,1
MS-00216-1988,166,1986,1988,Maleri,1
MS-00218-1988,116,1969,1988,Maleri,1
MS-00219-1988,167,1986,1988,Maleri,1
MS-00220-1988,168,1979,1988,Maleri,1
MS-00221-1988,42,1966,1988,Maleri,1
MS-00223-1988,156,1988,1988,Maleri,1
MS-00224-1988,169,1986,1988,Maleri,1
MS-00225-1988,130,1964,1988,Maleri,1
MS-00226-1988,170,1984,1988,Pastell,1
MS-00227-1988,30,1981,1988,Tegning,1
MS-00229-1988,171,1984,1988,Grafikk,1
MS-00230-1988,54,1979,1988,Tegning,1
MS-00231-1988,6,1973,1988,Grafikk,2
MS-00232-1988,99,1988,1988,Tegning,1
MS-00233-1988,99,1988,1988,Tegning,1
MS-00234-1988,172,1978,1988,Tegning,1
MS-00235-1988,173,1983,1988,Grafikk,1
MS-00236-1988,115,1981,1988,Grafikk,1
MS-00237-1988,174,1980,1988,Grafikk,1
MS-00238-1988,175,1984,1988,Grafikk,1
MS-00239-1988,94,1982,1988,Grafikk,2
MS-00240-1988,44,1979,1988,Grafikk,1
MS-00241-1988,176,1985,1988,Tegning,1
MS-00242-1988,85,1981,1988,Tegning,1
MS-00243-1988,177,1984,1988,Grafikk,1
MS-00244-1988,178,1981,1988,Grafikk,1
MS-00245-1988,179,1978,1988,Grafikk,1
MS-00246-1988,180,1986,1988,Tegning,1
MS-00247-1988,139,1983,1988,Maleri,1
MS-00248-1988,181,1981,1988,Grafikk,1
MS-00249-1988,42,1964,1988,Grafikk,1
MS-00250-1988,125,1968,1988,Grafikk,1
MS-00251-1988,132,1986,1988,Maleri,1
MS-00252-1988,43,1982,1988,Tegning,1
MS-00253-1988,182,1982,1988,Tegning,1
MS-00254-1988,81,1985,1988,Grafikk,1
MS-00255-1988,183,1984,1988,Tegning,1
MS-00256-1988,184,1981,1988,Grafikk,1
MS-00257-1988,185,1980,1988,Grafikk,2
MS-00258-1988,186,1983,1988,Maleri,1
MS-00259-1988,105,1987,1988,Maleri,2
MS-00260-1988,187,1988,1988,Skulptur,1
MS-00261-1988,188,1974,1988,Skulptur,1
MS-00262-1988,189,1971,1988,Skulptur,1
MS-00263-1988,190,1970,1988,Skulptur,1
MS-00264-1988,191,1956,1988,Skulptur,1
MS-00265-1988,192,1975,1988,Skulptur,1
MS-00266-1988,193,1976,1988,Maleri,1
MS-00267-1988,72,1984,1988,Tegning,1
MS-00268-1988,194,1982,1988,Skulptur,1
MS-00269-1988,195,1971,1988,Skulptur,1
MS-00270-1988,196,1981,1988,Skulptur,1
MS-00271-1988,197,1977,1988,Skulptur,1
MS-00272-1988,198,1981,1988,Skulptur,1
MS-00273-1988,154,1987,1988,Maleri,1
MS-00274-1988,199,1965,1988,Maleri,1
MS-00275-1988,200,1982,1988,Materialbilde,1
MS-00276-1988,64,1986,1988,Maleri,1
MS-00277-1988,201,1986,1988,Maleri,3
MS-00278-1988,76,1983,1988,Maleri,1
MS-00279-1988,79,1987,1988,Maleri,3
MS-00280-1988,30,1986,1988,Maleri,1
MS-00281-1988,202,1982,1989,Maleri,1
MS-00282-1988,203,1985,1988,Maleri,1
MS-00283-1988,204,1988,1988,Maleri,1
MS-00284-1988,205,1988,1988,Maleri,1
MS-00285-1988,206,1981,1988,Maleri,1
MS-00286-1988,207,1986,1988,Maleri,1
MS-00287-1988,208,1988,1988,Maleri,1
MS-00288-1988,209,1981,1988,Maleri,1
MS-00289-1988,132,1984,1988,Maleri,1
MS-00290-1988,63,1981,1988,Maleri,1
MS-00291-1988,210,1984,1988,Maleri,1
MS-00292-1988,211,1985,1988,Maleri,1
MS-00293-1988,212,1985,1988,Maleri,1
MS-00294-1988,213,1985,1988,Maleri,1
MS-00295-1988,125,1987,1988,Maleri,1
MS-00296-1988,133,1987,1988,Maleri,1
